session,axis,rSquare,method
1,x,0.6350978908123752,daily_retrain
1,y,0.6655000737658747,daily_retrain
2,x,0.7277543909777924,daily_retrain
2,y,0.7568657492941508,daily_retrain
3,x,0.7203595842832728,daily_retrain
3,y,0.7452000481406345,daily_retrain
4,x,0.712682552756458,daily_retrain
4,y,0.7333913672743122,daily_retrain
5,x,0.6956020413229955,daily_retrain
5,y,0.6693192474880285,daily_retrain
6,x,0.7349717080229637,daily_retrain
6,y,0.7229451353946822,daily_retrain
7,x,0.749986615997094,daily_retrain
7,y,0.7011001689169424,daily_retrain
8,x,0.6578473374894479,daily_retrain
8,y,0.6071054863689864,daily_retrain
9,x,0.6345903748107402,daily_retrain
9,y,0.7586028550501235,daily_retrain
10,x,0.6309560025308715,daily_retrain
10,y,0.7670265975876936,daily_retrain
11,x,0.5524193218901405,daily_retrain
11,y,0.7104483090172282,daily_retrain
12,x,0.6694754182747098,daily_retrain
12,y,0.7524643400136343,daily_retrain
13,x,0.7154734236665456,daily_retrain
13,y,0.8197536781885508,daily_retrain
14,x,0.7109543676705574,daily_retrain
14,y,0.818099651806419,daily_retrain
15,x,0.709152625592957,daily_retrain
15,y,0.8359113161068579,daily_retrain
16,x,0.6876559325321621,daily_retrain
16,y,0.7869819106194469,daily_retrain
17,x,0.6717264711459829,daily_retrain
17,y,0.7689203363135395,daily_retrain
18,x,0.6834502208286537,daily_retrain
18,y,0.7969949899482908,daily_retrain
19,x,0.7028921990752186,daily_retrain
19,y,0.8081347771782167,daily_retrain
20,x,0.687117165775036,daily_retrain
20,y,0.7941925976425349,daily_retrain
21,x,0.6935697685590434,daily_retrain
21,y,0.8010524577123812,daily_retrain
22,x,0.7023117294566743,daily_retrain
22,y,0.7415947686098842,daily_retrain
23,x,0.7179036574066382,daily_retrain
23,y,0.7515754338572607,daily_retrain
24,x,0.7247762313903612,daily_retrain
24,y,0.8028610105639501,daily_retrain
25,x,0.7173661587237818,daily_retrain
25,y,0.7962006561531296,daily_retrain
26,x,0.7414154866953958,daily_retrain
26,y,0.7926958455575406,daily_retrain
27,x,0.737986763611128,daily_retrain
27,y,0.8129475688652015,daily_retrain
28,x,0.7194321702056266,daily_retrain
28,y,0.7697777705017279,daily_retrain
29,x,0.6801539797628244,daily_retrain
29,y,0.7097889700787765,daily_retrain
30,x,0.5507338999101844,daily_retrain
30,y,0.6284293936113869,daily_retrain
31,x,0.7018923284642149,daily_retrain
31,y,0.841773874317869,daily_retrain
32,x,0.7435286776678971,daily_retrain
32,y,0.8257965869957211,daily_retrain
33,x,0.6163502201795523,daily_retrain
33,y,0.7082335351680993,daily_retrain
34,x,0.7258102612121735,daily_retrain
34,y,0.7632175975027288,daily_retrain
35,x,0.7662454461107079,daily_retrain
35,y,0.8188667709438865,daily_retrain
36,x,0.7634063438157532,daily_retrain
36,y,0.7518076508431764,daily_retrain
37,x,0.6937853657587016,daily_retrain
37,y,0.7173412947256516,daily_retrain
