session,axis,rSquare,method
2,x,-0.020376772817020994,domain_adversarial
2,y,-0.022908200566239323,domain_adversarial
3,x,0.7181684330624831,domain_adversarial
3,y,0.7517736185242642,domain_adversarial
4,x,-0.012862295973380622,domain_adversarial
4,y,0.4178023530672301,domain_adversarial
5,x,0.3589969001329988,domain_adversarial
5,y,0.2784799652200124,domain_adversarial
6,x,0.4729420042134812,domain_adversarial
6,y,0.5053411383588837,domain_adversarial
7,x,0.06838219731132644,domain_adversarial
7,y,0.003493502293596462,domain_adversarial
8,x,-0.0019671169941093414,domain_adversarial
8,y,-0.007416929181290888,domain_adversarial
9,x,0.4926092141611892,domain_adversarial
9,y,0.517076397137908,domain_adversarial
10,x,-0.0002433730821096436,domain_adversarial
10,y,-0.0021650765796967786,domain_adversarial
11,x,-0.003953870457314768,domain_adversarial
11,y,-0.0010383593047456063,domain_adversarial
12,x,-0.0003340045360060717,domain_adversarial
12,y,-0.008945166721018749,domain_adversarial
13,x,0.5771516526347971,domain_adversarial
13,y,0.7217666719187267,domain_adversarial
14,x,0.5712137272917505,domain_adversarial
14,y,0.5821091847376414,domain_adversarial
15,x,-0.00813830056583753,domain_adversarial
15,y,-0.0005049700960926273,domain_adversarial
16,x,0.7240805326267976,domain_adversarial
16,y,0.7991971936174868,domain_adversarial
17,x,-0.022908486718992593,domain_adversarial
17,y,-0.000831360823870364,domain_adversarial
18,x,0.6858870211592389,domain_adversarial
18,y,0.7617073504657658,domain_adversarial
19,x,-0.0036894507127660514,domain_adversarial
19,y,0.00800197998352059,domain_adversarial
20,x,-0.017059051194818764,domain_adversarial
20,y,0.0009221858143136918,domain_adversarial
21,x,-0.02713580009780281,domain_adversarial
21,y,-0.00046153950387828324,domain_adversarial
22,x,0.009270738497806241,domain_adversarial
22,y,-0.00836635354505244,domain_adversarial
23,x,-0.012767456629457108,domain_adversarial
23,y,0.00018527675914969954,domain_adversarial
24,x,-0.0011454681055216298,domain_adversarial
24,y,-0.00030925409636273216,domain_adversarial
25,x,0.015506910129822415,domain_adversarial
25,y,0.10661160232256106,domain_adversarial
26,x,0.015051042032968254,domain_adversarial
26,y,0.0013515107174895125,domain_adversarial
27,x,-0.01731456563151701,domain_adversarial
27,y,-0.006475595269289203,domain_adversarial
28,x,0.05408763847209275,domain_adversarial
28,y,0.5269731749445561,domain_adversarial
29,x,-0.1173485485937713,domain_adversarial
29,y,-0.015368653070782168,domain_adversarial
30,x,-0.0010117181735065373,domain_adversarial
30,y,-0.00027571656421332413,domain_adversarial
31,x,0.019541628554379797,domain_adversarial
31,y,0.006962561295934311,domain_adversarial
32,x,0.0012783378601797235,domain_adversarial
32,y,-0.0018459542755366876,domain_adversarial
33,x,-0.0042077145427790175,domain_adversarial
33,y,-0.01856254454811057,domain_adversarial
34,x,-0.0005967051327553374,domain_adversarial
34,y,-0.0008471693296989713,domain_adversarial
35,x,-0.0688489775024157,domain_adversarial
35,y,-0.026852252157881784,domain_adversarial
36,x,-0.016968304271003154,domain_adversarial
36,y,-0.012057302576527373,domain_adversarial
37,x,-0.010103179429128861,domain_adversarial
37,y,0.001251182539211415,domain_adversarial
