session,axis,rSquare,method
2,x,0.6782420163190681,domain_confusion
2,y,0.6990983472457091,domain_confusion
3,x,0.698518614347322,domain_confusion
3,y,0.7300379393738865,domain_confusion
4,x,0.6819238589132249,domain_confusion
4,y,0.7163235397181376,domain_confusion
5,x,0.652134657138406,domain_confusion
5,y,0.6439355544792356,domain_confusion
6,x,0.7744637413465262,domain_confusion
6,y,0.7391417457695976,domain_confusion
7,x,0.7238114425972876,domain_confusion
7,y,0.614801053086738,domain_confusion
8,x,0.6747876788941093,domain_confusion
8,y,0.6059053024153433,domain_confusion
9,x,0.573366767722026,domain_confusion
9,y,0.701371783982748,domain_confusion
10,x,0.675634566112996,domain_confusion
10,y,0.7855965911999109,domain_confusion
11,x,0.45951743313898774,domain_confusion
11,y,0.6647676665883717,domain_confusion
12,x,0.6110886057687921,domain_confusion
12,y,0.7270808705580535,domain_confusion
13,x,0.7234492519017551,domain_confusion
13,y,0.8561029170135835,domain_confusion
14,x,0.5887977844995664,domain_confusion
14,y,0.7989111853384647,domain_confusion
15,x,0.6683935934945175,domain_confusion
15,y,0.8374399638251513,domain_confusion
16,x,0.730506277056434,domain_confusion
16,y,0.8003051422794945,domain_confusion
17,x,0.6947968465860338,domain_confusion
17,y,0.7406091476290901,domain_confusion
18,x,0.65091876894025,domain_confusion
18,y,0.749862997402334,domain_confusion
19,x,0.6664101824219221,domain_confusion
19,y,0.8278268804202263,domain_confusion
20,x,0.6785886028677919,domain_confusion
20,y,0.8046500643372352,domain_confusion
21,x,0.7119806737782358,domain_confusion
21,y,0.7763881712561382,domain_confusion
22,x,0.6691966388800827,domain_confusion
22,y,0.7618883586152452,domain_confusion
23,x,0.6181030769952593,domain_confusion
23,y,0.6877338462109124,domain_confusion
24,x,0.6579528321957345,domain_confusion
24,y,0.7339240725805689,domain_confusion
25,x,0.683018202524625,domain_confusion
25,y,0.7777391819981823,domain_confusion
26,x,0.7133350370342777,domain_confusion
26,y,0.775717139539229,domain_confusion
27,x,0.7277963122724,domain_confusion
27,y,0.7541274067870912,domain_confusion
28,x,0.6671714558269766,domain_confusion
28,y,0.7465841741866103,domain_confusion
29,x,0.7142441167965448,domain_confusion
29,y,0.6876043273930283,domain_confusion
30,x,0.5276968427345232,domain_confusion
30,y,0.6169657244673367,domain_confusion
31,x,0.6755123113077706,domain_confusion
31,y,0.7964967258510264,domain_confusion
32,x,0.7014709689589564,domain_confusion
32,y,0.8317352398591806,domain_confusion
33,x,0.5580351650259987,domain_confusion
33,y,0.7122869003015726,domain_confusion
34,x,0.7030686214925307,domain_confusion
34,y,0.7493334607998394,domain_confusion
35,x,0.7056149536068523,domain_confusion
35,y,0.7816946894990132,domain_confusion
36,x,0.6866273741706513,domain_confusion
36,y,0.6650822128080508,domain_confusion
37,x,0.6642096332223086,domain_confusion
37,y,0.6955096715710939,domain_confusion
