session,axis,rSquare,method
2,x,0.7364494650853006,fine_tune
2,y,0.7533174335579761,fine_tune
3,x,0.749701795612326,fine_tune
3,y,0.7783355281769186,fine_tune
4,x,0.7388101845821338,fine_tune
4,y,0.7572449154191396,fine_tune
5,x,0.7300942137215845,fine_tune
5,y,0.7028196596221441,fine_tune
6,x,0.7771265930336982,fine_tune
6,y,0.7782408911960182,fine_tune
7,x,0.775268237956466,fine_tune
7,y,0.7526084274727048,fine_tune
8,x,0.6784144643215829,fine_tune
8,y,0.6016189403799407,fine_tune
9,x,0.654167966932386,fine_tune
9,y,0.7757660180118331,fine_tune
10,x,0.6799702896911762,fine_tune
10,y,0.8111362797785897,fine_tune
11,x,0.5195205018535489,fine_tune
11,y,0.7024127574016048,fine_tune
12,x,0.7213801260176532,fine_tune
12,y,0.7935603608048272,fine_tune
13,x,0.7726167614230717,fine_tune
13,y,0.8546322889698781,fine_tune
14,x,0.7424899086121086,fine_tune
14,y,0.8254969581539546,fine_tune
15,x,0.772906793299929,fine_tune
15,y,0.8609991534071998,fine_tune
16,x,0.7634644365152528,fine_tune
16,y,0.8298765719265857,fine_tune
17,x,0.7306250138598733,fine_tune
17,y,0.7930897403616005,fine_tune
18,x,0.7549675895461517,fine_tune
18,y,0.8504597372843311,fine_tune
19,x,0.7282671631139879,fine_tune
19,y,0.865149149272006,fine_tune
20,x,0.7429592265387274,fine_tune
20,y,0.838200151378681,fine_tune
21,x,0.7651801096305623,fine_tune
21,y,0.8388421210108701,fine_tune
22,x,0.746291148605791,fine_tune
22,y,0.773758415206947,fine_tune
23,x,0.7066040812316214,fine_tune
23,y,0.787789683765331,fine_tune
24,x,0.7295565340973225,fine_tune
24,y,0.8098901982769215,fine_tune
25,x,0.7408351138993738,fine_tune
25,y,0.8120030788325701,fine_tune
26,x,0.7781615738543128,fine_tune
26,y,0.8049640094946985,fine_tune
27,x,0.76763845496951,fine_tune
27,y,0.833519722227474,fine_tune
28,x,0.7329876592656404,fine_tune
28,y,0.7847425676734316,fine_tune
29,x,0.7407020151036894,fine_tune
29,y,0.7724186450249313,fine_tune
30,x,0.6117823330144987,fine_tune
30,y,0.7000722290516692,fine_tune
31,x,0.7462027903544814,fine_tune
31,y,0.8427501480600516,fine_tune
32,x,0.7546151758367807,fine_tune
32,y,0.8445562015794846,fine_tune
33,x,0.6303712127206684,fine_tune
33,y,0.7354126514675416,fine_tune
34,x,0.7704378386497002,fine_tune
34,y,0.7919438990009432,fine_tune
35,x,0.7737725781461672,fine_tune
35,y,0.7991018244691427,fine_tune
36,x,0.7805960942389345,fine_tune
36,y,0.7934443260990046,fine_tune
37,x,0.7463703699444324,fine_tune
37,y,0.7560789047496711,fine_tune
