session,axis,rSquare,method
1,x,0.6490599040525408,fixed_model
1,y,0.6482295356190622,fixed_model
2,x,0.46627851376183027,fixed_model
2,y,0.3143280546713275,fixed_model
3,x,0.537072202555265,fixed_model
3,y,0.21850362809962487,fixed_model
4,x,0.25056593057457144,fixed_model
4,y,0.48516312256063465,fixed_model
5,x,0.3927716092161818,fixed_model
5,y,0.4368042592553023,fixed_model
6,x,0.32044902034024747,fixed_model
6,y,0.5115922287457102,fixed_model
7,x,0.12155241899186986,fixed_model
7,y,0.1926682631238058,fixed_model
8,x,0.16958118170084024,fixed_model
8,y,0.19612120019445756,fixed_model
9,x,0.11229465568305463,fixed_model
9,y,0.38189013228454716,fixed_model
10,x,0.11272091473782897,fixed_model
10,y,0.4550016774845216,fixed_model
11,x,-0.16614383806804045,fixed_model
11,y,-0.24086229480269528,fixed_model
12,x,0.081887429266286,fixed_model
12,y,0.40680510622689015,fixed_model
13,x,0.14747454893334733,fixed_model
13,y,0.4364956371260451,fixed_model
14,x,0.15024910592234453,fixed_model
14,y,0.3411786943725843,fixed_model
15,x,-0.3560361205865299,fixed_model
15,y,0.43206461475031444,fixed_model
16,x,-0.07590712314052617,fixed_model
16,y,0.3558592666978917,fixed_model
17,x,-0.057014442004380994,fixed_model
17,y,-0.08671920749612338,fixed_model
18,x,-0.17853023657750544,fixed_model
18,y,0.16258039179394868,fixed_model
19,x,-1.0158905780759806,fixed_model
19,y,-0.7424668717614749,fixed_model
20,x,0.1370016325544008,fixed_model
20,y,0.4654094378750582,fixed_model
21,x,0.13535869632335562,fixed_model
21,y,0.21557420605176503,fixed_model
22,x,0.0635830815570615,fixed_model
22,y,0.1675342194171634,fixed_model
23,x,-0.4593603653355878,fixed_model
23,y,-0.16676641552089233,fixed_model
24,x,0.059060133822399496,fixed_model
24,y,0.3280110258331955,fixed_model
25,x,0.025056234515944853,fixed_model
25,y,0.06917679401149812,fixed_model
26,x,-0.1952542341882446,fixed_model
26,y,0.15725866331388894,fixed_model
27,x,-0.09179635940474684,fixed_model
27,y,0.23909886414274661,fixed_model
28,x,0.016566802383128687,fixed_model
28,y,0.2073021623257324,fixed_model
29,x,-0.04192222616866559,fixed_model
29,y,-0.5112098270432248,fixed_model
30,x,0.10761193930684076,fixed_model
30,y,0.09744535759609851,fixed_model
31,x,-0.007457038417898021,fixed_model
31,y,0.226713410933722,fixed_model
32,x,-0.12034666986566722,fixed_model
32,y,0.06272823867384936,fixed_model
33,x,0.01726229408648272,fixed_model
33,y,0.2158629822242969,fixed_model
34,x,-0.04919729685543106,fixed_model
34,y,0.18863923629110946,fixed_model
35,x,-0.4747683945263679,fixed_model
35,y,-0.15634945848509996,fixed_model
36,x,0.01701703310344993,fixed_model
36,y,0.207094508918634,fixed_model
37,x,-0.050168512841121116,fixed_model
37,y,0.2587923480542461,fixed_model
