session,axis,rSquare,method
2,x,0.732301692032686,mixed_calibration
2,y,0.7509558446292487,mixed_calibration
3,x,0.7353252370680825,mixed_calibration
3,y,0.778037230997302,mixed_calibration
4,x,0.734086373123428,mixed_calibration
4,y,0.7578624384593867,mixed_calibration
5,x,0.7474392814241013,mixed_calibration
5,y,0.6980988396879955,mixed_calibration
6,x,0.7564541390619245,mixed_calibration
6,y,0.7625808082783594,mixed_calibration
7,x,0.7741557961873808,mixed_calibration
7,y,0.7361242085681665,mixed_calibration
8,x,0.6328902849729292,mixed_calibration
8,y,0.5967358465349777,mixed_calibration
9,x,0.6572806039643053,mixed_calibration
9,y,0.7618584809285057,mixed_calibration
10,x,0.6588047645577961,mixed_calibration
10,y,0.8120156479071358,mixed_calibration
11,x,0.5570155046717724,mixed_calibration
11,y,0.7322549608532132,mixed_calibration
12,x,0.662708019530375,mixed_calibration
12,y,0.7827368514767357,mixed_calibration
13,x,0.7751088543031253,mixed_calibration
13,y,0.850292138347654,mixed_calibration
14,x,0.7270228319791641,mixed_calibration
14,y,0.8161318414741233,mixed_calibration
15,x,0.7476049898256635,mixed_calibration
15,y,0.8546513142391587,mixed_calibration
16,x,0.7640959207538588,mixed_calibration
16,y,0.8215979885109568,mixed_calibration
17,x,0.7344937218326848,mixed_calibration
17,y,0.7882999362267231,mixed_calibration
18,x,0.7298180896708417,mixed_calibration
18,y,0.8214785888642101,mixed_calibration
19,x,0.7283528474121749,mixed_calibration
19,y,0.8438167572829116,mixed_calibration
20,x,0.6959250811699489,mixed_calibration
20,y,0.7974291982860444,mixed_calibration
21,x,0.7336495592487683,mixed_calibration
21,y,0.8171256255699995,mixed_calibration
22,x,0.7146217938131681,mixed_calibration
22,y,0.7761507208286115,mixed_calibration
23,x,0.714026676391604,mixed_calibration
23,y,0.7725902461633347,mixed_calibration
24,x,0.7221221519656584,mixed_calibration
24,y,0.7949497694327082,mixed_calibration
25,x,0.7298434727161227,mixed_calibration
25,y,0.8129654922534438,mixed_calibration
26,x,0.7713250706970609,mixed_calibration
26,y,0.8165467922440633,mixed_calibration
27,x,0.7563871873832625,mixed_calibration
27,y,0.8095533477948629,mixed_calibration
28,x,0.736533906795265,mixed_calibration
28,y,0.7794991681215323,mixed_calibration
29,x,0.7496870878631106,mixed_calibration
29,y,0.7578835598382279,mixed_calibration
30,x,0.6027915077056861,mixed_calibration
30,y,0.6869766990627298,mixed_calibration
31,x,0.7141622871785984,mixed_calibration
31,y,0.824608315912786,mixed_calibration
32,x,0.7478584043494524,mixed_calibration
32,y,0.8487253923145112,mixed_calibration
33,x,0.6261783069679536,mixed_calibration
33,y,0.7329321982138376,mixed_calibration
34,x,0.7539897413790005,mixed_calibration
34,y,0.7849729413381086,mixed_calibration
35,x,0.7744616865226126,mixed_calibration
35,y,0.8149704102989794,mixed_calibration
36,x,0.7550669195001847,mixed_calibration
36,y,0.7462713967485504,mixed_calibration
37,x,0.7175623734953472,mixed_calibration
37,y,0.707862374723131,mixed_calibration
