timestamp,value,type,movement,axis,test_on,r2
4966.488,7.9890294,groundtruth,velocity,x,14,-0.3911283
4966.552,5.3377237,groundtruth,velocity,x,14,-0.3911283
4966.616,0.37486055,groundtruth,velocity,x,14,-0.3911283
4966.68,-2.4258227,groundtruth,velocity,x,14,-0.3911283
4966.744,-0.6284195,groundtruth,velocity,x,14,-0.3911283
4966.808,-0.5220341,groundtruth,velocity,x,14,-0.3911283
4966.872,-0.0762165,groundtruth,velocity,x,14,-0.3911283
4966.936,0.16385442,groundtruth,velocity,x,14,-0.3911283
4967.0,0.87099195,groundtruth,velocity,x,14,-0.3911283
4967.064,0.6685809,groundtruth,velocity,x,14,-0.3911283
4967.128,0.110246025,groundtruth,velocity,x,14,-0.3911283
4967.192,0.24573673,groundtruth,velocity,x,14,-0.3911283
4967.256,0.4666527,groundtruth,velocity,x,14,-0.3911283
4967.32,0.31654754,groundtruth,velocity,x,14,-0.3911283
4967.384,-0.48174334,groundtruth,velocity,x,14,-0.3911283
4967.448,1.0593894,groundtruth,velocity,x,14,-0.3911283
4967.512,2.136871,groundtruth,velocity,x,14,-0.3911283
4967.576,3.0457535,groundtruth,velocity,x,14,-0.3911283
4967.64,6.0764146,groundtruth,velocity,x,14,-0.3911283
4967.704,9.993725,groundtruth,velocity,x,14,-0.3911283
4967.768,10.249093,groundtruth,velocity,x,14,-0.3911283
4967.832,5.8045692,groundtruth,velocity,x,14,-0.3911283
4967.896,0.19693075,groundtruth,velocity,x,14,-0.3911283
4967.96,0.049140126,groundtruth,velocity,x,14,-0.3911283
4968.024,-1.3061349,groundtruth,velocity,x,14,-0.3911283
4968.088,-4.045891,groundtruth,velocity,x,14,-0.3911283
4968.152,-3.0008159,groundtruth,velocity,x,14,-0.3911283
4968.216,-0.61885244,groundtruth,velocity,x,14,-0.3911283
4968.28,0.31590766,groundtruth,velocity,x,14,-0.3911283
4968.344,-0.6663125,groundtruth,velocity,x,14,-0.3911283
4968.408,-0.79386485,groundtruth,velocity,x,14,-0.3911283
4968.472,-2.1363037,groundtruth,velocity,x,14,-0.3911283
4968.536,-1.6423804,groundtruth,velocity,x,14,-0.3911283
4968.6,-0.016221607,groundtruth,velocity,x,14,-0.3911283
4968.664,0.046393793,groundtruth,velocity,x,14,-0.3911283
4968.728,0.090068005,groundtruth,velocity,x,14,-0.3911283
4968.792,0.24326123,groundtruth,velocity,x,14,-0.3911283
4968.856,0.17254859,groundtruth,velocity,x,14,-0.3911283
4968.92,0.031054983,groundtruth,velocity,x,14,-0.3911283
4968.984,0.0058017736,groundtruth,velocity,x,14,-0.3911283
4969.048,-0.015683696,groundtruth,velocity,x,14,-0.3911283
4969.112,-0.033693843,groundtruth,velocity,x,14,-0.3911283
4969.176,0.23081735,groundtruth,velocity,x,14,-0.3911283
4969.24,4.7818923,groundtruth,velocity,x,14,-0.3911283
4969.304,13.684135,groundtruth,velocity,x,14,-0.3911283
4969.368,24.548702,groundtruth,velocity,x,14,-0.3911283
4969.432,28.708292,groundtruth,velocity,x,14,-0.3911283
4969.496,31.627417,groundtruth,velocity,x,14,-0.3911283
4969.56,22.302944,groundtruth,velocity,x,14,-0.3911283
4969.624,2.243474,groundtruth,velocity,x,14,-0.3911283
4969.688,-2.673869,groundtruth,velocity,x,14,-0.3911283
4969.752,0.55552304,groundtruth,velocity,x,14,-0.3911283
4969.816,-2.6239538,groundtruth,velocity,x,14,-0.3911283
4969.88,-8.060256,groundtruth,velocity,x,14,-0.3911283
4969.944,-2.6992993,groundtruth,velocity,x,14,-0.3911283
4970.008,-0.96401256,groundtruth,velocity,x,14,-0.3911283
4970.072,-2.6779163,groundtruth,velocity,x,14,-0.3911283
4970.136,-1.0971227,groundtruth,velocity,x,14,-0.3911283
4970.2,-0.82445765,groundtruth,velocity,x,14,-0.3911283
4970.264,-1.4594475,groundtruth,velocity,x,14,-0.3911283
4970.328,0.2772645,groundtruth,velocity,x,14,-0.3911283
4970.392,0.5700897,groundtruth,velocity,x,14,-0.3911283
4970.456,-1.1941764,groundtruth,velocity,x,14,-0.3911283
4970.52,-1.826461,groundtruth,velocity,x,14,-0.3911283
4970.584,-4.5993595,groundtruth,velocity,x,14,-0.3911283
4970.648,-15.812407,groundtruth,velocity,x,14,-0.3911283
4970.712,-24.77549,groundtruth,velocity,x,14,-0.3911283
4970.776,-21.551708,groundtruth,velocity,x,14,-0.3911283
4970.84,-8.458394,groundtruth,velocity,x,14,-0.3911283
4970.904,0.3575799,groundtruth,velocity,x,14,-0.3911283
4970.968,2.4164653,groundtruth,velocity,x,14,-0.3911283
4971.032,2.2461793,groundtruth,velocity,x,14,-0.3911283
4971.096,3.5982003,groundtruth,velocity,x,14,-0.3911283
4971.16,3.2934752,groundtruth,velocity,x,14,-0.3911283
4971.224,1.0604446,groundtruth,velocity,x,14,-0.3911283
4971.288,0.25193107,groundtruth,velocity,x,14,-0.3911283
4971.352,0.05339276,groundtruth,velocity,x,14,-0.3911283
4971.416,-0.122954465,groundtruth,velocity,x,14,-0.3911283
4971.48,-0.0725128,groundtruth,velocity,x,14,-0.3911283
4971.544,-0.08624357,groundtruth,velocity,x,14,-0.3911283
4971.608,-0.4926999,groundtruth,velocity,x,14,-0.3911283
4971.672,-3.0330513,groundtruth,velocity,x,14,-0.3911283
4971.736,-8.136108,groundtruth,velocity,x,14,-0.3911283
4971.8,-12.793163,groundtruth,velocity,x,14,-0.3911283
4971.864,-12.468331,groundtruth,velocity,x,14,-0.3911283
4971.928,-9.3496685,groundtruth,velocity,x,14,-0.3911283
4971.992,-6.115638,groundtruth,velocity,x,14,-0.3911283
4972.056,-6.1830873,groundtruth,velocity,x,14,-0.3911283
4972.12,-4.009858,groundtruth,velocity,x,14,-0.3911283
4972.184,-0.0555625,groundtruth,velocity,x,14,-0.3911283
4972.248,0.06632126,groundtruth,velocity,x,14,-0.3911283
4972.312,-0.15480274,groundtruth,velocity,x,14,-0.3911283
4972.376,-0.20486413,groundtruth,velocity,x,14,-0.3911283
4972.44,0.02391385,groundtruth,velocity,x,14,-0.3911283
4972.504,-0.024480427,groundtruth,velocity,x,14,-0.3911283
4972.568,-0.012772106,groundtruth,velocity,x,14,-0.3911283
4972.632,0.026893392,groundtruth,velocity,x,14,-0.3911283
4972.696,0.027500141,groundtruth,velocity,x,14,-0.3911283
4972.76,0.05984643,groundtruth,velocity,x,14,-0.3911283
4972.824,0.123150565,groundtruth,velocity,x,14,-0.3911283
4972.888,2.4267578,groundtruth,velocity,x,14,-0.3911283
4972.952,10.378205,groundtruth,velocity,x,14,-0.3911283
4973.016,17.962727,groundtruth,velocity,x,14,-0.3911283
4973.08,23.03353,groundtruth,velocity,x,14,-0.3911283
4973.144,24.555075,groundtruth,velocity,x,14,-0.3911283
4973.208,19.75637,groundtruth,velocity,x,14,-0.3911283
4973.272,6.2069316,groundtruth,velocity,x,14,-0.3911283
4973.336,-4.298647,groundtruth,velocity,x,14,-0.3911283
4973.4,-0.7381056,groundtruth,velocity,x,14,-0.3911283
4973.464,-3.216532,groundtruth,velocity,x,14,-0.3911283
4973.528,-4.738769,groundtruth,velocity,x,14,-0.3911283
4973.592,-2.7547026,groundtruth,velocity,x,14,-0.3911283
4973.656,-2.1695895,groundtruth,velocity,x,14,-0.3911283
4973.72,-2.0099688,groundtruth,velocity,x,14,-0.3911283
4973.784,-2.136745,groundtruth,velocity,x,14,-0.3911283
4973.848,-2.0924864,groundtruth,velocity,x,14,-0.3911283
4973.912,-0.9943287,groundtruth,velocity,x,14,-0.3911283
4973.976,-1.0795621,groundtruth,velocity,x,14,-0.3911283
4974.04,-1.7056439,groundtruth,velocity,x,14,-0.3911283
4974.104,-1.2575383,groundtruth,velocity,x,14,-0.3911283
4974.168,-0.6801237,groundtruth,velocity,x,14,-0.3911283
4974.232,-0.96628094,groundtruth,velocity,x,14,-0.3911283
4974.296,-3.743242,groundtruth,velocity,x,14,-0.3911283
4974.36,-5.5783234,groundtruth,velocity,x,14,-0.3911283
4974.424,-1.8265786,groundtruth,velocity,x,14,-0.3911283
4974.488,-9.647967,groundtruth,velocity,x,14,-0.3911283
4974.552,-11.185876,groundtruth,velocity,x,14,-0.3911283
4974.616,-3.9087725,groundtruth,velocity,x,14,-0.3911283
4974.68,3.425407,groundtruth,velocity,x,14,-0.3911283
4974.744,3.8087692,groundtruth,velocity,x,14,-0.3911283
4974.808,2.798816,groundtruth,velocity,x,14,-0.3911283
4974.872,2.0268846,groundtruth,velocity,x,14,-0.3911283
4974.936,2.9242182,groundtruth,velocity,x,14,-0.3911283
4975.0,2.1809916,groundtruth,velocity,x,14,-0.3911283
4975.064,2.1456106,groundtruth,velocity,x,14,-0.3911283
4975.128,0.6025981,groundtruth,velocity,x,14,-0.3911283
4975.192,0.10262792,groundtruth,velocity,x,14,-0.3911283
4975.256,0.27914882,groundtruth,velocity,x,14,-0.3911283
4975.32,0.046926707,groundtruth,velocity,x,14,-0.3911283
4975.384,0.05690883,groundtruth,velocity,x,14,-0.3911283
4975.448,0.04986022,groundtruth,velocity,x,14,-0.3911283
4975.512,0.15738536,groundtruth,velocity,x,14,-0.3911283
4975.576,-0.58426344,groundtruth,velocity,x,14,-0.3911283
4975.64,-4.0920177,groundtruth,velocity,x,14,-0.3911283
4975.704,-10.501718,groundtruth,velocity,x,14,-0.3911283
4975.768,-13.085619,groundtruth,velocity,x,14,-0.3911283
4975.832,-12.802777,groundtruth,velocity,x,14,-0.3911283
4975.896,-8.837397,groundtruth,velocity,x,14,-0.3911283
4975.96,-4.4519196,groundtruth,velocity,x,14,-0.3911283
4976.024,-3.1206188,groundtruth,velocity,x,14,-0.3911283
4976.088,-1.4103978,groundtruth,velocity,x,14,-0.3911283
4976.152,0.27494878,groundtruth,velocity,x,14,-0.3911283
4976.216,0.21037835,groundtruth,velocity,x,14,-0.3911283
4976.28,0.07098673,groundtruth,velocity,x,14,-0.3911283
4976.344,-0.2812082,groundtruth,velocity,x,14,-0.3911283
4976.408,-0.9020158,groundtruth,velocity,x,14,-0.3911283
4976.472,-1.6251053,groundtruth,velocity,x,14,-0.3911283
4976.536,-0.9623918,groundtruth,velocity,x,14,-0.3911283
4976.6,-0.5792829,groundtruth,velocity,x,14,-0.3911283
4976.664,-0.26108184,groundtruth,velocity,x,14,-0.3911283
4976.728,-0.02842586,groundtruth,velocity,x,14,-0.3911283
4976.792,0.18790375,groundtruth,velocity,x,14,-0.3911283
4976.856,3.3450398,groundtruth,velocity,x,14,-0.3911283
4976.92,6.481551,groundtruth,velocity,x,14,-0.3911283
4976.984,7.0502,groundtruth,velocity,x,14,-0.3911283
4977.048,6.361101,groundtruth,velocity,x,14,-0.3911283
4977.112,3.624991,groundtruth,velocity,x,14,-0.3911283
