r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.7370199,x,velocity,0,1,None,DeepDomainConfusionModel
0.765222,y,velocity,0,1,None,DeepDomainConfusionModel
0.7285801,x,velocity,0,2,None,DeepDomainConfusionModel
0.763155,y,velocity,0,2,None,DeepDomainConfusionModel
0.69625866,x,velocity,0,3,None,DeepDomainConfusionModel
0.7486679,y,velocity,0,3,None,DeepDomainConfusionModel
0.7547785,x,velocity,0,4,None,DeepDomainConfusionModel
0.6926751,y,velocity,0,4,None,DeepDomainConfusionModel
0.7328856,x,velocity,0,5,None,DeepDomainConfusionModel
0.74019194,y,velocity,0,5,None,DeepDomainConfusionModel
0.70608103,x,velocity,0,6,None,DeepDomainConfusionModel
0.7100247,y,velocity,0,6,None,DeepDomainConfusionModel
0.59501964,x,velocity,0,7,None,DeepDomainConfusionModel
0.5668523,y,velocity,0,7,None,DeepDomainConfusionModel
0.6214613,x,velocity,0,8,None,DeepDomainConfusionModel
0.74910045,y,velocity,0,8,None,DeepDomainConfusionModel
0.6268464,x,velocity,0,9,None,DeepDomainConfusionModel
0.791775,y,velocity,0,9,None,DeepDomainConfusionModel
0.47229356,x,velocity,0,10,None,DeepDomainConfusionModel
0.71410763,y,velocity,0,10,None,DeepDomainConfusionModel
0.7602387,x,velocity,0,11,None,DeepDomainConfusionModel
0.80040103,y,velocity,0,11,None,DeepDomainConfusionModel
0.76155484,x,velocity,0,12,None,DeepDomainConfusionModel
0.8261725,y,velocity,0,12,None,DeepDomainConfusionModel
0.7051593,x,velocity,0,13,None,DeepDomainConfusionModel
0.8697165,y,velocity,0,13,None,DeepDomainConfusionModel
0.77922785,x,velocity,0,14,None,DeepDomainConfusionModel
0.84859246,y,velocity,0,14,None,DeepDomainConfusionModel
0.6748965,x,velocity,0,15,None,DeepDomainConfusionModel
0.7492969,y,velocity,0,15,None,DeepDomainConfusionModel
0.7171546,x,velocity,0,16,None,DeepDomainConfusionModel
0.75243485,y,velocity,0,16,None,DeepDomainConfusionModel
