sourceSessionIndex,targetSessionIndex,domain,axis,dataset,rSquare
0.0,1.0,source,x,train,0.9746377110695388
0.0,1.0,source,x,test,0.6528421485398914
0.0,1.0,source,y,train,0.9610906416139054
0.0,1.0,source,y,test,0.6704044499142278
0.0,1.0,target,x,train,0.9680824689253796
0.0,1.0,target,x,test,0.7515777558030591
0.0,1.0,target,y,train,0.9600748940160292
0.0,1.0,target,y,test,0.7783655863271827
1.0,2.0,source,x,train,0.9583855454684372
1.0,2.0,source,x,test,0.7887958728803541
1.0,2.0,source,y,train,0.9691843705360448
1.0,2.0,source,y,test,0.8107074222712677
1.0,2.0,target,x,train,0.9611706221737888
1.0,2.0,target,x,test,0.7567235865368616
1.0,2.0,target,y,train,0.9686277577164292
1.0,2.0,target,y,test,0.7747968757841771
2.0,3.0,source,x,train,0.962625418333875
2.0,3.0,source,x,test,0.741067942423987
2.0,3.0,source,y,train,0.9581847441387494
2.0,3.0,source,y,test,0.7699964186021898
2.0,3.0,target,x,train,0.9586085702875808
2.0,3.0,target,x,test,0.7185522698419875
2.0,3.0,target,y,train,0.9695560694618706
2.0,3.0,target,y,test,0.7634739962704619
3.0,4.0,source,x,train,0.9742639143318804
3.0,4.0,source,x,test,0.7499723605753625
3.0,4.0,source,y,train,0.9700629931675894
3.0,4.0,source,y,test,0.7635114921347734
3.0,4.0,target,x,train,0.9731135123796872
3.0,4.0,target,x,test,0.7308214524988658
3.0,4.0,target,y,train,0.9674716567478968
3.0,4.0,target,y,test,0.6774749516758487
4.0,5.0,source,x,train,0.981047736898064
4.0,5.0,source,x,test,0.7267895945604554
4.0,5.0,source,y,train,0.9508252491094978
4.0,5.0,source,y,test,0.6882662928086323
4.0,5.0,target,x,train,0.9809592068885116
4.0,5.0,target,x,test,0.7488879940560929
4.0,5.0,target,y,train,0.9400283915456203
4.0,5.0,target,y,test,0.74664468362504
5.0,6.0,source,x,train,0.9808277942235504
5.0,6.0,source,x,test,0.7744193239478645
5.0,6.0,source,y,train,0.95831360386156
5.0,6.0,source,y,test,0.7230932278003781
5.0,6.0,target,x,train,0.9694167598266992
5.0,6.0,target,x,test,0.7644014157728436
5.0,6.0,target,y,train,0.9630347745385976
5.0,6.0,target,y,test,0.7258434219248144
6.0,7.0,source,x,train,0.9696746261758642
6.0,7.0,source,x,test,0.750211990965481
6.0,7.0,source,y,train,0.9580119375046466
6.0,7.0,source,y,test,0.7383451982943063
6.0,7.0,target,x,train,0.930432791517496
6.0,7.0,target,x,test,0.6587865313342933
6.0,7.0,target,y,train,0.9087606480507332
6.0,7.0,target,y,test,0.6206461410641049
7.0,8.0,source,x,train,0.9556775158229448
7.0,8.0,source,x,test,0.6447312208853239
7.0,8.0,source,y,train,0.9548578997757706
7.0,8.0,source,y,test,0.654162739202776
7.0,8.0,target,x,train,0.9705331099591534
7.0,8.0,target,x,test,0.6562882156207097
7.0,8.0,target,y,train,0.9842737482962758
7.0,8.0,target,y,test,0.7964594981788071
8.0,9.0,source,x,train,0.967647682313176
8.0,9.0,source,x,test,0.6644962464430564
8.0,9.0,source,y,train,0.9629986062764192
8.0,9.0,source,y,test,0.7658409140378442
8.0,9.0,target,x,train,0.9608891037617316
8.0,9.0,target,x,test,0.6656672693634633
8.0,9.0,target,y,train,0.9486628829121876
8.0,9.0,target,y,test,0.8187377364788976
9.0,10.0,source,x,train,0.9425858346792358
9.0,10.0,source,x,test,0.6549252135708746
9.0,10.0,source,y,train,0.9482747928498704
9.0,10.0,source,y,test,0.7977767251087343
9.0,10.0,target,x,train,0.938932165304651
9.0,10.0,target,x,test,0.5971761614282518
9.0,10.0,target,y,train,0.9599079190749296
9.0,10.0,target,y,test,0.7882184857647396
10.0,11.0,source,x,train,0.8951877703031722
10.0,11.0,source,x,test,0.5432559551784386
10.0,11.0,source,y,train,0.9428027521634574
10.0,11.0,source,y,test,0.7457182667202384
10.0,11.0,target,x,train,0.9359383585813392
10.0,11.0,target,x,test,0.6961727970987261
10.0,11.0,target,y,train,0.9297808956231892
10.0,11.0,target,y,test,0.7911363223075534
11.0,12.0,source,x,train,0.9701739614184272
11.0,12.0,source,x,test,0.7236714094382877
11.0,12.0,source,y,train,0.9807472955445252
11.0,12.0,source,y,test,0.7843510949607113
11.0,12.0,target,x,train,0.9768507119381704
11.0,12.0,target,x,test,0.7804409657575493
11.0,12.0,target,y,train,0.9747766245121792
11.0,12.0,target,y,test,0.837706293855004
12.0,13.0,source,x,train,0.9823435805979298
12.0,13.0,source,x,test,0.7595746826493146
12.0,13.0,source,y,train,0.9824905823544438
12.0,13.0,source,y,test,0.8110293107963145
12.0,13.0,target,x,train,0.9864827961588096
12.0,13.0,target,x,test,0.7417577320921263
12.0,13.0,target,y,train,0.9868279088568216
12.0,13.0,target,y,test,0.8174781100667973
13.0,14.0,source,x,train,0.974677620075326
13.0,14.0,source,x,test,0.7813777636803823
13.0,14.0,source,y,train,0.9795529171576662
13.0,14.0,source,y,test,0.8343538988695836
13.0,14.0,target,x,train,0.9643257434063912
13.0,14.0,target,x,test,0.767070568384999
13.0,14.0,target,y,train,0.9747324812598644
13.0,14.0,target,y,test,0.8626783754219955
14.0,15.0,source,x,train,0.9676580840615157
14.0,15.0,source,x,test,0.7947236826110122
14.0,15.0,source,y,train,0.9818477231683376
14.0,15.0,source,y,test,0.8688859649189669
14.0,15.0,target,x,train,0.9664036012193216
14.0,15.0,target,x,test,0.7324061598884672
14.0,15.0,target,y,train,0.983553331116807
14.0,15.0,target,y,test,0.8309652722300872
15.0,16.0,source,x,train,0.970779692787207
15.0,16.0,source,x,test,0.7244149564985216
15.0,16.0,source,y,train,0.9805080376929296
15.0,16.0,source,y,test,0.8159652070854522
15.0,16.0,target,x,train,0.9787870055393696
15.0,16.0,target,x,test,0.7077960430415373
15.0,16.0,target,y,train,0.9827780167623958
15.0,16.0,target,y,test,0.8097481392902866
16.0,17.0,source,x,train,0.9740671682794702
16.0,17.0,source,x,test,0.70435749501804
16.0,17.0,source,y,train,0.9862674402016351
16.0,17.0,source,y,test,0.7997719897826682
16.0,17.0,target,x,train,0.968057135028061
16.0,17.0,target,x,test,0.6908288381441435
16.0,17.0,target,y,train,0.98568734309063
16.0,17.0,target,y,test,0.8278772708289177
17.0,18.0,source,x,train,0.9759459138289094
17.0,18.0,source,x,test,0.7212877449110149
17.0,18.0,source,y,train,0.9674984491108872
17.0,18.0,source,y,test,0.8095557148476259
17.0,18.0,target,x,train,0.982958361567978
17.0,18.0,target,x,test,0.7091316618935516
17.0,18.0,target,y,train,0.9773611330943198
17.0,18.0,target,y,test,0.8241075709713119
18.0,19.0,source,x,train,0.9856821056769136
18.0,19.0,source,x,test,0.7000382801296252
18.0,19.0,source,y,train,0.9822597619420947
18.0,19.0,source,y,test,0.796663014074778
18.0,19.0,target,x,train,0.986320563800558
18.0,19.0,target,x,test,0.6605710408551777
18.0,19.0,target,y,train,0.9845662667244616
18.0,19.0,target,y,test,0.7965688529229442
19.0,20.0,source,x,train,0.9728304532960412
19.0,20.0,source,x,test,0.651786696963609
19.0,20.0,source,y,train,0.9745468752652294
19.0,20.0,source,y,test,0.7902529964078312
19.0,20.0,target,x,train,0.9608369302034134
19.0,20.0,target,x,test,0.7389774726819844
19.0,20.0,target,y,train,0.9649635542685844
19.0,20.0,target,y,test,0.7854277270222463
20.0,21.0,source,x,train,0.9780787554898324
20.0,21.0,source,x,test,0.7049835209260551
20.0,21.0,source,y,train,0.979579738634898
20.0,21.0,source,y,test,0.8124900537698695
20.0,21.0,target,x,train,0.9736768209022032
20.0,21.0,target,x,test,0.6991120260512271
20.0,21.0,target,y,train,0.9765656934783034
20.0,21.0,target,y,test,0.7494845642782642
21.0,22.0,source,x,train,0.9472172716544554
21.0,22.0,source,x,test,0.6917680958101446
21.0,22.0,source,y,train,0.9524912032229644
21.0,22.0,source,y,test,0.7260204951465561
21.0,22.0,target,x,train,0.9471195545204604
21.0,22.0,target,x,test,0.7044801994327972
21.0,22.0,target,y,train,0.9565249623168176
21.0,22.0,target,y,test,0.7892436593250588
22.0,23.0,source,x,train,0.9599991106142254
22.0,23.0,source,x,test,0.6969150238906521
22.0,23.0,source,y,train,0.9655717415044258
22.0,23.0,source,y,test,0.7811449978148635
22.0,23.0,target,x,train,0.931099479329561
22.0,23.0,target,x,test,0.6527781422327463
22.0,23.0,target,y,train,0.9613947267681088
22.0,23.0,target,y,test,0.8016246303316072
23.0,24.0,source,x,train,0.9731880835130424
23.0,24.0,source,x,test,0.6923020665767695
23.0,24.0,source,y,train,0.97479956175661
23.0,24.0,source,y,test,0.7989067404212293
23.0,24.0,target,x,train,0.9782698973986698
23.0,24.0,target,x,test,0.7169293097769607
23.0,24.0,target,y,train,0.973792688867585
23.0,24.0,target,y,test,0.8289413795675368
24.0,25.0,source,x,train,0.9804806140329624
24.0,25.0,source,x,test,0.7056058161436298
24.0,25.0,source,y,train,0.9709681806670863
24.0,25.0,source,y,test,0.8234591845456195
24.0,25.0,target,x,train,0.9781787557251144
24.0,25.0,target,x,test,0.7632240311988026
24.0,25.0,target,y,train,0.9686084017507748
24.0,25.0,target,y,test,0.7940729153359214
25.0,26.0,source,x,train,0.9712850001885182
25.0,26.0,source,x,test,0.7855688153769842
25.0,26.0,source,y,train,0.9841443089736808
25.0,26.0,source,y,test,0.8109346743410374
25.0,26.0,target,x,train,0.9826110910318936
25.0,26.0,target,x,test,0.7756123005033635
25.0,26.0,target,y,train,0.9876016223975538
25.0,26.0,target,y,test,0.8277831145370422
26.0,27.0,source,x,train,0.9652380307918088
26.0,27.0,source,x,test,0.7412907861960354
26.0,27.0,source,y,train,0.9850551643067422
26.0,27.0,source,y,test,0.8257524962632499
26.0,27.0,target,x,train,0.959982672192614
26.0,27.0,target,x,test,0.7345768864966224
26.0,27.0,target,y,train,0.9793707575983291
26.0,27.0,target,y,test,0.8123070251369445
27.0,28.0,source,x,train,0.9820160222771848
27.0,28.0,source,x,test,0.7500991403680637
27.0,28.0,source,y,train,0.9824983345877452
27.0,28.0,source,y,test,0.8210753642976765
27.0,28.0,target,x,train,0.9638681443649316
27.0,28.0,target,x,test,0.7459623708726466
27.0,28.0,target,y,train,0.9807091694114808
27.0,28.0,target,y,test,0.7822762318645552
28.0,29.0,source,x,train,0.98133265285212
28.0,29.0,source,x,test,0.7445915419974394
28.0,29.0,source,y,train,0.9788535758215622
28.0,29.0,source,y,test,0.7477517144932329
28.0,29.0,target,x,train,0.9477045191207858
28.0,29.0,target,x,test,0.5706091668249735
28.0,29.0,target,y,train,0.9367961876143588
28.0,29.0,target,y,test,0.7092639088240282
29.0,30.0,source,x,train,0.9440177027098814
29.0,30.0,source,x,test,0.564338155029417
29.0,30.0,source,y,train,0.9775232058337676
29.0,30.0,source,y,test,0.6684507760566787
29.0,30.0,target,x,train,0.973488480735757
29.0,30.0,target,x,test,0.7204709487217994
29.0,30.0,target,y,train,0.9845707441557312
29.0,30.0,target,y,test,0.8454758494373622
30.0,31.0,source,x,train,0.9784810948077304
30.0,31.0,source,x,test,0.7283237437706569
30.0,31.0,source,y,train,0.979743165709633
30.0,31.0,source,y,test,0.8529691565383906
30.0,31.0,target,x,train,0.9782905884755368
30.0,31.0,target,x,test,0.7376760589327483
30.0,31.0,target,y,train,0.980026404416737
30.0,31.0,target,y,test,0.8522218706166285
31.0,32.0,source,x,train,0.9784551026542432
31.0,32.0,source,x,test,0.7272352956325432
31.0,32.0,source,y,train,0.969989022078102
31.0,32.0,source,y,test,0.8411625615837766
31.0,32.0,target,x,train,0.9756574888259768
31.0,32.0,target,x,test,0.6276730025698296
31.0,32.0,target,y,train,0.9622018559589652
31.0,32.0,target,y,test,0.7480968262636205
32.0,33.0,source,x,train,0.9837464398619856
32.0,33.0,source,x,test,0.6372786244950823
32.0,33.0,source,y,train,0.9772646418090268
32.0,33.0,source,y,test,0.7267994049031322
32.0,33.0,target,x,train,0.9809988408316428
32.0,33.0,target,x,test,0.7527256616893833
32.0,33.0,target,y,train,0.9801303996982998
32.0,33.0,target,y,test,0.8058664341162185
33.0,34.0,source,x,train,0.9288149312066424
33.0,34.0,source,x,test,0.7387315933063128
33.0,34.0,source,y,train,0.8929555304676162
33.0,34.0,source,y,test,0.7020249331053909
33.0,34.0,target,x,train,0.9308716082268708
33.0,34.0,target,x,test,0.7673111667848185
33.0,34.0,target,y,train,0.7661316757841795
33.0,34.0,target,y,test,0.6854688015756604
34.0,35.0,source,x,train,0.9459847994391608
34.0,35.0,source,x,test,0.7377838369140721
34.0,35.0,source,y,train,0.957729637714999
34.0,35.0,source,y,test,0.8188415560376787
34.0,35.0,target,x,train,0.972512613516884
34.0,35.0,target,x,test,0.7575512746224846
34.0,35.0,target,y,train,0.9593072534564562
34.0,35.0,target,y,test,0.7488671255380394
35.0,36.0,source,x,train,0.9676616453736094
35.0,36.0,source,x,test,0.7748115063812104
35.0,36.0,source,y,train,0.972325976966842
35.0,36.0,source,y,test,0.7953358799478187
35.0,36.0,target,x,train,0.9617394835985388
35.0,36.0,target,x,test,0.7340771148101806
35.0,36.0,target,y,train,0.9363473287576805
35.0,36.0,target,y,test,0.7461961658034744
