r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.7374985,x,velocity,0,1,None,Finetune
0.7670868,y,velocity,0,1,None,Finetune
0.73700726,x,velocity,0,2,None,Finetune
0.76293075,y,velocity,0,2,None,Finetune
0.6886823,x,velocity,0,3,None,Finetune
0.73575914,y,velocity,0,3,None,Finetune
0.76323247,x,velocity,0,4,None,Finetune
0.68631387,y,velocity,0,4,None,Finetune
0.6835754,x,velocity,0,5,None,Finetune
0.7264395,y,velocity,0,5,None,Finetune
0.754784,x,velocity,0,6,None,Finetune
0.7141193,y,velocity,0,6,None,Finetune
0.6050452,x,velocity,0,7,None,Finetune
0.5261376,y,velocity,0,7,None,Finetune
0.60543525,x,velocity,0,8,None,Finetune
0.7348847,y,velocity,0,8,None,Finetune
0.64693403,x,velocity,0,9,None,Finetune
0.79864824,y,velocity,0,9,None,Finetune
0.49628383,x,velocity,0,10,None,Finetune
0.7276969,y,velocity,0,10,None,Finetune
0.7314922,x,velocity,0,11,None,Finetune
0.77007455,y,velocity,0,11,None,Finetune
0.74303746,x,velocity,0,12,None,Finetune
0.8169391,y,velocity,0,12,None,Finetune
0.72274065,x,velocity,0,13,None,Finetune
0.8686353,y,velocity,0,13,None,Finetune
0.7942032,x,velocity,0,14,None,Finetune
0.8530627,y,velocity,0,14,None,Finetune
0.67745024,x,velocity,0,15,None,Finetune
0.7534283,y,velocity,0,15,None,Finetune
0.7066313,x,velocity,0,16,None,Finetune
0.76194316,y,velocity,0,16,None,Finetune
0.7051224,x,velocity,0,17,None,Finetune
0.828472,y,velocity,0,17,None,Finetune
0.5719,x,velocity,0,18,None,Finetune
0.7773357,y,velocity,0,18,None,Finetune
0.66076076,x,velocity,0,19,None,Finetune
0.7913393,y,velocity,0,19,None,Finetune
0.7139474,x,velocity,0,20,None,Finetune
0.8019758,y,velocity,0,20,None,Finetune
0.7252517,x,velocity,0,21,None,Finetune
0.74401426,y,velocity,0,21,None,Finetune
0.7044728,x,velocity,0,22,None,Finetune
0.795059,y,velocity,0,22,None,Finetune
0.68965566,x,velocity,0,23,None,Finetune
0.79953754,y,velocity,0,23,None,Finetune
0.760096,x,velocity,0,24,None,Finetune
0.83354294,y,velocity,0,24,None,Finetune
0.7075505,x,velocity,0,25,None,Finetune
0.82939297,y,velocity,0,25,None,Finetune
0.7408338,x,velocity,0,26,None,Finetune
0.8135497,y,velocity,0,26,None,Finetune
0.75072515,x,velocity,0,27,None,Finetune
0.83697766,y,velocity,0,27,None,Finetune
0.7120714,x,velocity,0,28,None,Finetune
0.7752522,y,velocity,0,28,None,Finetune
0.5477516,x,velocity,0,29,None,Finetune
0.66257083,y,velocity,0,29,None,Finetune
0.71229565,x,velocity,0,30,None,Finetune
0.8397536,y,velocity,0,30,None,Finetune
0.6700957,x,velocity,0,31,None,Finetune
0.81305015,y,velocity,0,31,None,Finetune
0.64828694,x,velocity,0,32,None,Finetune
0.7087976,y,velocity,0,32,None,Finetune
0.725345,x,velocity,0,33,None,Finetune
0.78520364,y,velocity,0,33,None,Finetune
0.7889363,x,velocity,0,34,None,Finetune
0.8534177,y,velocity,0,34,None,Finetune
0.70468694,x,velocity,0,35,None,Finetune
0.7664976,y,velocity,0,35,None,Finetune
0.72712755,x,velocity,0,36,None,Finetune
0.75619733,y,velocity,0,36,None,Finetune
0.6718061,x,velocity,1,0,None,Finetune
0.7094938,y,velocity,1,0,None,Finetune
0.7419709,x,velocity,1,2,None,Finetune
0.76572394,y,velocity,1,2,None,Finetune
0.68059427,x,velocity,1,3,None,Finetune
0.7406553,y,velocity,1,3,None,Finetune
0.74714905,x,velocity,1,4,None,Finetune
0.6485976,y,velocity,1,4,None,Finetune
0.71080697,x,velocity,1,5,None,Finetune
0.7202033,y,velocity,1,5,None,Finetune
0.7557428,x,velocity,1,6,None,Finetune
0.7185656,y,velocity,1,6,None,Finetune
0.58447707,x,velocity,1,7,None,Finetune
0.536288,y,velocity,1,7,None,Finetune
0.6049472,x,velocity,1,8,None,Finetune
0.73668706,y,velocity,1,8,None,Finetune
0.6122366,x,velocity,1,9,None,Finetune
0.7954991,y,velocity,1,9,None,Finetune
0.48633105,x,velocity,1,10,None,Finetune
0.71811265,y,velocity,1,10,None,Finetune
0.7087022,x,velocity,1,11,None,Finetune
0.76667845,y,velocity,1,11,None,Finetune
0.74582624,x,velocity,1,12,None,Finetune
0.8245186,y,velocity,1,12,None,Finetune
0.72841465,x,velocity,1,13,None,Finetune
0.86322534,y,velocity,1,13,None,Finetune
0.8050521,x,velocity,1,14,None,Finetune
0.84584785,y,velocity,1,14,None,Finetune
0.7023424,x,velocity,1,15,None,Finetune
0.74144226,y,velocity,1,15,None,Finetune
0.727502,x,velocity,1,16,None,Finetune
0.7527089,y,velocity,1,16,None,Finetune
0.7205535,x,velocity,1,17,None,Finetune
0.82223797,y,velocity,1,17,None,Finetune
0.61407816,x,velocity,1,18,None,Finetune
0.7873423,y,velocity,1,18,None,Finetune
0.65558934,x,velocity,1,19,None,Finetune
0.80709493,y,velocity,1,19,None,Finetune
0.69946635,x,velocity,1,20,None,Finetune
0.81493163,y,velocity,1,20,None,Finetune
0.69804394,x,velocity,1,21,None,Finetune
0.7515951,y,velocity,1,21,None,Finetune
0.7198876,x,velocity,1,22,None,Finetune
0.8196329,y,velocity,1,22,None,Finetune
