sourceSessionIndex,targetSessionIndex,domain,axis,dataset,rSquare
0.0,1.0,source,x,train,0.9810766608756344
0.0,1.0,source,x,test,0.6181136433129915
0.0,1.0,source,y,train,0.9756500821494918
0.0,1.0,source,y,test,0.6879922111476731
0.0,1.0,target,x,train,0.9769106464592472
0.0,1.0,target,x,test,0.7384520229358329
0.0,1.0,target,y,train,0.9649921825981276
0.0,1.0,target,y,test,0.7588845413165255
1.0,2.0,source,x,train,0.9599246205386008
1.0,2.0,source,x,test,0.7784686044962545
1.0,2.0,source,y,train,0.9537958766022224
1.0,2.0,source,y,test,0.7875353093415597
1.0,2.0,target,x,train,0.9669829301166248
1.0,2.0,target,x,test,0.7317280740583751
1.0,2.0,target,y,train,0.9603291660955018
1.0,2.0,target,y,test,0.7621800186260255
2.0,3.0,source,x,train,0.9756934773404446
2.0,3.0,source,x,test,0.7322315998778661
2.0,3.0,source,y,train,0.964922119515502
2.0,3.0,source,y,test,0.7620291124401413
2.0,3.0,target,x,train,0.9750822808954076
2.0,3.0,target,x,test,0.7267113237644125
2.0,3.0,target,y,train,0.9721540562935862
2.0,3.0,target,y,test,0.7555028173148685
3.0,4.0,source,x,train,0.9834663267139764
3.0,4.0,source,x,test,0.7301745634640333
3.0,4.0,source,y,train,0.9808202362079173
3.0,4.0,source,y,test,0.755918454706837
3.0,4.0,target,x,train,0.9862816587975508
3.0,4.0,target,x,test,0.718051321011734
3.0,4.0,target,y,train,0.9818569529614094
3.0,4.0,target,y,test,0.7184201203666762
4.0,5.0,source,x,train,0.9599123356374036
4.0,5.0,source,x,test,0.7343198602586807
4.0,5.0,source,y,train,0.9821571763438032
4.0,5.0,source,y,test,0.7157706677199542
4.0,5.0,target,x,train,0.9665459583859598
4.0,5.0,target,x,test,0.763508651414107
4.0,5.0,target,y,train,0.9749671519207392
4.0,5.0,target,y,test,0.7517293479841192
5.0,6.0,source,x,train,0.969079703998186
5.0,6.0,source,x,test,0.773795149119054
5.0,6.0,source,y,train,0.9728868242506056
5.0,6.0,source,y,test,0.761576503095034
5.0,6.0,target,x,train,0.9699538590622926
5.0,6.0,target,x,test,0.7586865953398302
5.0,6.0,target,y,train,0.97204827719904
5.0,6.0,target,y,test,0.7332374622288662
6.0,7.0,source,x,train,0.9743540033328248
6.0,7.0,source,x,test,0.7422775858441663
6.0,7.0,source,y,train,0.9757817111994896
6.0,7.0,source,y,test,0.7213649102929736
6.0,7.0,target,x,train,0.9533044494548888
6.0,7.0,target,x,test,0.6301504439482144
6.0,7.0,target,y,train,0.9630575399721356
6.0,7.0,target,y,test,0.5993335798222784
7.0,8.0,source,x,train,0.9489393197200746
7.0,8.0,source,x,test,0.6285895546128741
7.0,8.0,source,y,train,0.9320171208172368
7.0,8.0,source,y,test,0.655367912374084
7.0,8.0,target,x,train,0.9577960945685972
7.0,8.0,target,x,test,0.6385437918098629
7.0,8.0,target,y,train,0.9644318514036764
7.0,8.0,target,y,test,0.7886025543256767
8.0,9.0,source,x,train,0.9644760898830882
8.0,9.0,source,x,test,0.6683316624529486
8.0,9.0,source,y,train,0.9616980633352276
8.0,9.0,source,y,test,0.768506665457211
8.0,9.0,target,x,train,0.9292466808218444
8.0,9.0,target,x,test,0.6453661024915947
8.0,9.0,target,y,train,0.9556326874999552
8.0,9.0,target,y,test,0.8054770076897622
