r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.7508922,x,velocity,0,1,None,DomainAdversarial
0.75753677,y,velocity,0,1,None,DomainAdversarial
0.77255803,x,velocity,0,2,None,DomainAdversarial
0.7965649,y,velocity,0,2,None,DomainAdversarial
0.717479,x,velocity,0,3,None,DomainAdversarial
0.7520802,y,velocity,0,3,None,DomainAdversarial
0.77765846,x,velocity,0,4,None,DomainAdversarial
0.71077764,y,velocity,0,4,None,DomainAdversarial
0.7640456,x,velocity,0,5,None,DomainAdversarial
0.77727914,y,velocity,0,5,None,DomainAdversarial
0.5117018,x,velocity,0,6,None,DomainAdversarial
0.47345853,y,velocity,0,6,None,DomainAdversarial
0.6720556,x,velocity,0,7,None,DomainAdversarial
0.6368679,y,velocity,0,7,None,DomainAdversarial
0.6634995,x,velocity,0,8,None,DomainAdversarial
0.7626451,y,velocity,0,8,None,DomainAdversarial
0.6923599,x,velocity,0,9,None,DomainAdversarial
0.81021154,y,velocity,0,9,None,DomainAdversarial
0.56819904,x,velocity,0,10,None,DomainAdversarial
0.75814694,y,velocity,0,10,None,DomainAdversarial
0.74764526,x,velocity,0,11,None,DomainAdversarial
0.80640626,y,velocity,0,11,None,DomainAdversarial
0.74832964,x,velocity,0,12,None,DomainAdversarial
0.8542824,y,velocity,0,12,None,DomainAdversarial
0.7316663,x,velocity,0,13,None,DomainAdversarial
0.87143767,y,velocity,0,13,None,DomainAdversarial
0.72278684,x,velocity,0,14,None,DomainAdversarial
0.79955596,y,velocity,0,14,None,DomainAdversarial
0.7699496,x,velocity,0,15,None,DomainAdversarial
0.8089556,y,velocity,0,15,None,DomainAdversarial
0.71079844,x,velocity,0,16,None,DomainAdversarial
0.7715826,y,velocity,0,16,None,DomainAdversarial
0.70654094,x,velocity,0,17,None,DomainAdversarial
0.8350204,y,velocity,0,17,None,DomainAdversarial
0.71791863,x,velocity,0,18,None,DomainAdversarial
0.7917966,y,velocity,0,18,None,DomainAdversarial
0.6781397,x,velocity,0,19,None,DomainAdversarial
0.82108223,y,velocity,0,19,None,DomainAdversarial
0.7201688,x,velocity,0,20,None,DomainAdversarial
0.84237874,y,velocity,0,20,None,DomainAdversarial
0.74486864,x,velocity,0,21,None,DomainAdversarial
0.8021182,y,velocity,0,21,None,DomainAdversarial
0.690616,x,velocity,0,22,None,DomainAdversarial
0.8049605,y,velocity,0,22,None,DomainAdversarial
0.668852,x,velocity,0,23,None,DomainAdversarial
0.80778706,y,velocity,0,23,None,DomainAdversarial
0.80244863,x,velocity,0,24,None,DomainAdversarial
0.86611426,y,velocity,0,24,None,DomainAdversarial
0.7441421,x,velocity,0,25,None,DomainAdversarial
0.8345735,y,velocity,0,25,None,DomainAdversarial
0.77078825,x,velocity,0,26,None,DomainAdversarial
0.8429096,y,velocity,0,26,None,DomainAdversarial
0.7783844,x,velocity,0,27,None,DomainAdversarial
0.83719736,y,velocity,0,27,None,DomainAdversarial
0.65459913,x,velocity,0,28,None,DomainAdversarial
0.7849536,y,velocity,0,28,None,DomainAdversarial
0.6328407,x,velocity,0,29,None,DomainAdversarial
0.72524273,y,velocity,0,29,None,DomainAdversarial
0.7441145,x,velocity,0,30,None,DomainAdversarial
0.8517926,y,velocity,0,30,None,DomainAdversarial
0.7706993,x,velocity,0,31,None,DomainAdversarial
0.8698499,y,velocity,0,31,None,DomainAdversarial
0.6584936,x,velocity,0,32,None,DomainAdversarial
0.7860148,y,velocity,0,32,None,DomainAdversarial
0.7553643,x,velocity,0,33,None,DomainAdversarial
0.7937403,y,velocity,0,33,None,DomainAdversarial
0.7425237,x,velocity,0,34,None,DomainAdversarial
0.843759,y,velocity,0,34,None,DomainAdversarial
0.7718563,x,velocity,0,35,None,DomainAdversarial
0.7947829,y,velocity,0,35,None,DomainAdversarial
0.7686416,x,velocity,0,36,None,DomainAdversarial
0.784622,y,velocity,0,36,None,DomainAdversarial
0.6963154,x,velocity,1,0,None,DomainAdversarial
0.74549234,y,velocity,1,0,None,DomainAdversarial
0.76844424,x,velocity,1,2,None,DomainAdversarial
0.78832024,y,velocity,1,2,None,DomainAdversarial
0.7557272,x,velocity,1,3,None,DomainAdversarial
0.72939897,y,velocity,1,3,None,DomainAdversarial
0.791671,x,velocity,1,4,None,DomainAdversarial
0.7027758,y,velocity,1,4,None,DomainAdversarial
0.7359619,x,velocity,1,5,None,DomainAdversarial
0.75782156,y,velocity,1,5,None,DomainAdversarial
0.7311119,x,velocity,1,6,None,DomainAdversarial
0.6048906,y,velocity,1,6,None,DomainAdversarial
0.65615416,x,velocity,1,7,None,DomainAdversarial
0.5936947,y,velocity,1,7,None,DomainAdversarial
0.673635,x,velocity,1,8,None,DomainAdversarial
0.772333,y,velocity,1,8,None,DomainAdversarial
0.68152857,x,velocity,1,9,None,DomainAdversarial
0.81848145,y,velocity,1,9,None,DomainAdversarial
0.590044,x,velocity,1,10,None,DomainAdversarial
0.6307776,y,velocity,1,10,None,DomainAdversarial
0.73216295,x,velocity,1,11,None,DomainAdversarial
0.82947326,y,velocity,1,11,None,DomainAdversarial
0.75784796,x,velocity,1,12,None,DomainAdversarial
0.834586,y,velocity,1,12,None,DomainAdversarial
0.7332915,x,velocity,1,13,None,DomainAdversarial
0.863677,y,velocity,1,13,None,DomainAdversarial
0.76678646,x,velocity,1,14,None,DomainAdversarial
0.83696425,y,velocity,1,14,None,DomainAdversarial
0.7409602,x,velocity,1,15,None,DomainAdversarial
0.78894067,y,velocity,1,15,None,DomainAdversarial
0.74658656,x,velocity,1,16,None,DomainAdversarial
0.7989922,y,velocity,1,16,None,DomainAdversarial
0.739722,x,velocity,1,17,None,DomainAdversarial
0.8420294,y,velocity,1,17,None,DomainAdversarial
0.6631913,x,velocity,1,18,None,DomainAdversarial
0.83080924,y,velocity,1,18,None,DomainAdversarial
0.6798216,x,velocity,1,19,None,DomainAdversarial
0.80022496,y,velocity,1,19,None,DomainAdversarial
0.7402659,x,velocity,1,20,None,DomainAdversarial
0.8243433,y,velocity,1,20,None,DomainAdversarial
0.7472211,x,velocity,1,21,None,DomainAdversarial
0.7797418,y,velocity,1,21,None,DomainAdversarial
0.751433,x,velocity,1,22,None,DomainAdversarial
0.8116301,y,velocity,1,22,None,DomainAdversarial
0.76517636,x,velocity,1,23,None,DomainAdversarial
0.80423754,y,velocity,1,23,None,DomainAdversarial
0.7628464,x,velocity,1,24,None,DomainAdversarial
0.8349207,y,velocity,1,24,None,DomainAdversarial
0.7826096,x,velocity,1,25,None,DomainAdversarial
0.8265596,y,velocity,1,25,None,DomainAdversarial
