r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model
0.7476647,x,velocity,0,1,None,MixCalibration
0.7653409,y,velocity,0,1,None,MixCalibration
0.7366142,x,velocity,0,2,None,MixCalibration
0.76949006,y,velocity,0,2,None,MixCalibration
0.6701344,x,velocity,0,3,None,MixCalibration
0.7462944,y,velocity,0,3,None,MixCalibration
0.7417591,x,velocity,0,4,None,MixCalibration
0.6643772,y,velocity,0,4,None,MixCalibration
0.7188415,x,velocity,0,5,None,MixCalibration
0.74448645,y,velocity,0,5,None,MixCalibration
0.72395045,x,velocity,0,6,None,MixCalibration
0.70471823,y,velocity,0,6,None,MixCalibration
0.6032741,x,velocity,0,7,None,MixCalibration
0.5743856,y,velocity,0,7,None,MixCalibration
0.6471371,x,velocity,0,8,None,MixCalibration
0.76088744,y,velocity,0,8,None,MixCalibration
0.63022536,x,velocity,0,9,None,MixCalibration
0.7917135,y,velocity,0,9,None,MixCalibration
0.47769135,x,velocity,0,10,None,MixCalibration
0.70740074,y,velocity,0,10,None,MixCalibration
0.6953025,x,velocity,0,11,None,MixCalibration
0.8000852,y,velocity,0,11,None,MixCalibration
0.7321267,x,velocity,0,12,None,MixCalibration
0.815238,y,velocity,0,12,None,MixCalibration
0.71567726,x,velocity,0,13,None,MixCalibration
0.8558034,y,velocity,0,13,None,MixCalibration
0.75782526,x,velocity,0,14,None,MixCalibration
0.8443179,y,velocity,0,14,None,MixCalibration
0.6869835,x,velocity,0,15,None,MixCalibration
0.75339055,y,velocity,0,15,None,MixCalibration
0.7457291,x,velocity,0,16,None,MixCalibration
0.7751046,y,velocity,0,16,None,MixCalibration
0.7077881,x,velocity,0,17,None,MixCalibration
0.83754516,y,velocity,0,17,None,MixCalibration
0.6216726,x,velocity,0,18,None,MixCalibration
0.79591364,y,velocity,0,18,None,MixCalibration
0.63870144,x,velocity,0,19,None,MixCalibration
0.791214,y,velocity,0,19,None,MixCalibration
0.6961954,x,velocity,0,20,None,MixCalibration
0.81094897,y,velocity,0,20,None,MixCalibration
0.6860549,x,velocity,0,21,None,MixCalibration
0.73364556,y,velocity,0,21,None,MixCalibration
0.6848117,x,velocity,0,22,None,MixCalibration
0.8047397,y,velocity,0,22,None,MixCalibration
0.71007466,x,velocity,0,23,None,MixCalibration
0.78215635,y,velocity,0,23,None,MixCalibration
0.7440635,x,velocity,0,24,None,MixCalibration
0.83485544,y,velocity,0,24,None,MixCalibration
0.71228313,x,velocity,0,25,None,MixCalibration
0.8058132,y,velocity,0,25,None,MixCalibration
0.7424003,x,velocity,0,26,None,MixCalibration
0.8266785,y,velocity,0,26,None,MixCalibration
0.7633896,x,velocity,0,27,None,MixCalibration
0.8310014,y,velocity,0,27,None,MixCalibration
0.6927758,x,velocity,0,28,None,MixCalibration
0.7773371,y,velocity,0,28,None,MixCalibration
0.53749496,x,velocity,0,29,None,MixCalibration
0.6572896,y,velocity,0,29,None,MixCalibration
0.73527724,x,velocity,0,30,None,MixCalibration
0.8494797,y,velocity,0,30,None,MixCalibration
0.69767225,x,velocity,0,31,None,MixCalibration
0.83239615,y,velocity,0,31,None,MixCalibration
0.6017709,x,velocity,0,32,None,MixCalibration
0.7293359,y,velocity,0,32,None,MixCalibration
0.7189723,x,velocity,0,33,None,MixCalibration
0.77732503,y,velocity,0,33,None,MixCalibration
0.78830445,x,velocity,0,34,None,MixCalibration
0.8479012,y,velocity,0,34,None,MixCalibration
0.72388625,x,velocity,0,35,None,MixCalibration
0.76423776,y,velocity,0,35,None,MixCalibration
0.71981144,x,velocity,0,36,None,MixCalibration
0.7460414,y,velocity,0,36,None,MixCalibration
0.67312217,x,velocity,1,0,None,MixCalibration
0.72495663,y,velocity,1,0,None,MixCalibration
0.75057447,x,velocity,1,2,None,MixCalibration
0.78766775,y,velocity,1,2,None,MixCalibration
0.70103276,x,velocity,1,3,None,MixCalibration
0.7525315,y,velocity,1,3,None,MixCalibration
0.75588423,x,velocity,1,4,None,MixCalibration
0.70003647,y,velocity,1,4,None,MixCalibration
0.7277434,x,velocity,1,5,None,MixCalibration
0.7520568,y,velocity,1,5,None,MixCalibration
0.748263,x,velocity,1,6,None,MixCalibration
0.7042978,y,velocity,1,6,None,MixCalibration
0.613775,x,velocity,1,7,None,MixCalibration
0.57818973,y,velocity,1,7,None,MixCalibration
0.6373615,x,velocity,1,8,None,MixCalibration
0.73425245,y,velocity,1,8,None,MixCalibration
0.63966537,x,velocity,1,9,None,MixCalibration
0.7968632,y,velocity,1,9,None,MixCalibration
0.46382463,x,velocity,1,10,None,MixCalibration
0.7171757,y,velocity,1,10,None,MixCalibration
0.7365912,x,velocity,1,11,None,MixCalibration
0.8001205,y,velocity,1,11,None,MixCalibration
0.7520792,x,velocity,1,12,None,MixCalibration
0.8322724,y,velocity,1,12,None,MixCalibration
0.67308563,x,velocity,1,13,None,MixCalibration
0.8350512,y,velocity,1,13,None,MixCalibration
0.7878579,x,velocity,1,14,None,MixCalibration
0.8489318,y,velocity,1,14,None,MixCalibration
0.6976213,x,velocity,1,15,None,MixCalibration
0.75687546,y,velocity,1,15,None,MixCalibration
0.69866526,x,velocity,1,16,None,MixCalibration
0.76544523,y,velocity,1,16,None,MixCalibration
0.72483015,x,velocity,1,17,None,MixCalibration
0.84045243,y,velocity,1,17,None,MixCalibration
0.6249132,x,velocity,1,18,None,MixCalibration
0.7720595,y,velocity,1,18,None,MixCalibration
0.6713681,x,velocity,1,19,None,MixCalibration
0.79991984,y,velocity,1,19,None,MixCalibration
0.72507703,x,velocity,1,20,None,MixCalibration
0.8063652,y,velocity,1,20,None,MixCalibration
0.6551571,x,velocity,1,21,None,MixCalibration
0.74384373,y,velocity,1,21,None,MixCalibration
0.71282697,x,velocity,1,22,None,MixCalibration
0.8041333,y,velocity,1,22,None,MixCalibration
0.70453143,x,velocity,1,23,None,MixCalibration
0.79934067,y,velocity,1,23,None,MixCalibration
0.7621219,x,velocity,1,24,None,MixCalibration
0.82506675,y,velocity,1,24,None,MixCalibration
0.6963095,x,velocity,1,25,None,MixCalibration
0.81522286,y,velocity,1,25,None,MixCalibration
0.7163239,x,velocity,1,26,None,MixCalibration
0.8265526,y,velocity,1,26,None,MixCalibration
0.749405,x,velocity,1,27,None,MixCalibration
0.8285775,y,velocity,1,27,None,MixCalibration
0.66409016,x,velocity,1,28,None,MixCalibration
0.76380336,y,velocity,1,28,None,MixCalibration
0.5360843,x,velocity,1,29,None,MixCalibration
0.6471751,y,velocity,1,29,None,MixCalibration
0.74845386,x,velocity,1,30,None,MixCalibration
0.8388232,y,velocity,1,30,None,MixCalibration
0.670807,x,velocity,1,31,None,MixCalibration
0.82717055,y,velocity,1,31,None,MixCalibration
0.6232414,x,velocity,1,32,None,MixCalibration
0.7231497,y,velocity,1,32,None,MixCalibration
0.7304828,x,velocity,1,33,None,MixCalibration
0.783252,y,velocity,1,33,None,MixCalibration
0.7654117,x,velocity,1,34,None,MixCalibration
0.84830505,y,velocity,1,34,None,MixCalibration
0.7303963,x,velocity,1,35,None,MixCalibration
0.78341085,y,velocity,1,35,None,MixCalibration
0.7198192,x,velocity,1,36,None,MixCalibration
0.7282175,y,velocity,1,36,None,MixCalibration
0.6753806,x,velocity,2,0,None,MixCalibration
0.7325797,y,velocity,2,0,None,MixCalibration
0.7973255,x,velocity,2,1,None,MixCalibration
0.82725257,y,velocity,2,1,None,MixCalibration
0.6843593,x,velocity,2,3,None,MixCalibration
0.7407786,y,velocity,2,3,None,MixCalibration
0.76114553,x,velocity,2,4,None,MixCalibration
0.6702876,y,velocity,2,4,None,MixCalibration
