testingSession,fixed model,daily retrain,domain mixed calibration,domain adversarial calibration,domain confusion calibration,fine-tune,domain adversarial calibration (unsupupervised),domain confusion calibration (unsupupervised)
2,0.496816,0.772126,0.761108,0.667262,0.760375,0.778625,0.56034,0.630633
3,0.439036,0.765469,0.792943,0.767085,0.776942,0.795148,0.657263,0.708121
4,0.559133,0.756106,0.771085,0.711724,0.792709,0.770943,0.646265,0.693614
5,0.495273,0.681176,0.720056,0.68841,0.696438,0.724081,0.56121,0.603118
6,0.553475,0.744184,0.773895,0.759394,0.803051,0.786256,0.684202,0.671924
7,0.230228,0.743587,0.749458,0.738333,0.768152,0.768883,0.603606,0.661488
8,0.240302,0.621077,0.638254,0.624693,0.624163,0.625713,0.374232,0.307477
9,0.465374,0.782306,0.785266,0.732128,0.77967,0.794,0.467772,0.515029
10,0.523715,0.78055,0.815982,0.814543,0.848534,0.816364,0.710259,0.727512
11,-0.170942,0.745611,0.747122,0.677547,0.729108,0.694381,-0.120266,-0.139684
12,0.394951,0.778992,0.791487,0.734825,0.781112,0.779244,-0.728452,-0.208879
13,0.420644,0.82244,0.844991,0.84422,0.854091,0.855651,0.808053,0.823175
14,0.350016,0.823176,0.824409,0.799979,0.810637,0.846424,0.729085,0.729903
15,0.438685,0.85284,0.871859,0.854438,0.864482,0.878867,0.742783,0.718905
16,0.350457,0.816746,0.833906,0.827225,0.861801,0.838498,0.762602,0.83387
17,0.0678032,0.793982,0.809362,0.757669,0.814043,0.805299,0.680664,0.724565
18,0.191075,0.821852,0.835134,0.809293,0.823218,0.837798,0.766712,0.778398
19,-0.177613,0.830346,0.860063,0.846136,0.849159,0.858081,0.69482,0.671332
20,0.501095,0.805955,0.823666,0.78699,0.806597,0.830687,0.763326,0.674089
21,0.380046,0.806496,0.816757,0.803486,0.816275,0.854737,0.725425,0.727186
22,0.187746,0.747502,0.785536,0.778748,0.780436,0.819241,0.696622,0.632284
23,-0.0558288,0.789546,0.808367,0.711871,0.784187,0.741032,0.10016,0.049912
24,0.376739,0.813823,0.804452,0.74275,0.792317,0.810294,0.326793,0.180617
25,0.11652,0.803932,0.833679,0.785727,0.817963,0.815846,0.611288,0.530956
26,0.18458,0.807267,0.821359,0.796337,0.813446,0.817757,0.63948,0.592262
27,0.240828,0.82923,0.829234,0.75706,0.829777,0.821906,0.602622,0.664869
28,0.233064,0.799218,0.816666,0.796878,0.810842,0.818714,0.754787,0.749291
29,-0.555914,0.74502,0.755279,0.703236,0.748791,0.782491,0.591914,0.612544
30,0.0694832,0.701347,0.712837,0.673092,0.686923,0.726129,0.354118,0.252579
31,0.237306,0.845557,0.849117,0.805339,0.830882,0.85794,0.0413515,0.449967
32,0.185948,0.843182,0.860986,0.842065,0.86436,0.838322,0.635189,0.647531
33,0.218811,0.712726,0.741629,0.729365,0.732006,0.740922,0.580746,0.504267
34,0.170286,0.783371,0.796297,0.75607,0.791852,0.811257,0.624065,0.64131
35,-0.140322,0.838029,0.838935,0.721226,0.812703,0.751169,3.24E-02,-0.0728171
36,0.248076,0.775131,0.778211,0.664858,0.764052,0.812233,-0.0103547,-0.0224024
37,0.279817,0.742674,0.752462,0.72369,0.733925,0.779916,0.625028,0.701124
