r_square,axis,movement,sourceSessionIndex,targetSessionIndex,normalizedMethod,model,targetLength
0.60155475,x,velocity,0,1,None,Finetune,938
0.6465943,y,velocity,0,1,None,Finetune,938
0.65573573,x,velocity,0,1,None,MixCalibration,938
0.6892319,y,velocity,0,1,None,MixCalibration,938
0.648247,x,velocity,0,1,None,deepDomainComfuse,938
0.642177,y,velocity,0,1,None,deepDomainComfuse,938
0.6794259,x,velocity,0,1,None,domainAdversarial,938
0.72274274,y,velocity,0,1,None,domainAdversarial,938
0.6085291,x,velocity,0,1,None,Finetune,1875
0.68173426,y,velocity,0,1,None,Finetune,1875
0.6828975,x,velocity,0,1,None,MixCalibration,1875
0.71513414,y,velocity,0,1,None,MixCalibration,1875
0.6514629,x,velocity,0,1,None,deepDomainComfuse,1875
0.7116152,y,velocity,0,1,None,deepDomainComfuse,1875
0.63853407,x,velocity,0,1,None,domainAdversarial,1875
0.73439384,y,velocity,0,1,None,domainAdversarial,1875
0.66723156,x,velocity,0,1,None,Finetune,2813
0.73308134,y,velocity,0,1,None,Finetune,2813
0.6859412,x,velocity,0,1,None,MixCalibration,2813
0.71651006,y,velocity,0,1,None,MixCalibration,2813
0.6932579,x,velocity,0,1,None,deepDomainComfuse,2813
0.7311251,y,velocity,0,1,None,deepDomainComfuse,2813
0.73601633,x,velocity,0,1,None,domainAdversarial,2813
0.73389715,y,velocity,0,1,None,domainAdversarial,2813
0.69294393,x,velocity,0,1,None,Finetune,3750
0.72200876,y,velocity,0,1,None,Finetune,3750
0.71862763,x,velocity,0,1,None,MixCalibration,3750
0.7337197,y,velocity,0,1,None,MixCalibration,3750
0.6956333,x,velocity,0,1,None,deepDomainComfuse,3750
0.7409208,y,velocity,0,1,None,deepDomainComfuse,3750
0.74403095,x,velocity,0,1,None,domainAdversarial,3750
0.758989,y,velocity,0,1,None,domainAdversarial,3750
0.7428372,x,velocity,0,1,None,Finetune,4688
0.7558079,y,velocity,0,1,None,Finetune,4688
0.7316705,x,velocity,0,1,None,MixCalibration,4688
0.7545765,y,velocity,0,1,None,MixCalibration,4688
0.7159634,x,velocity,0,1,None,deepDomainComfuse,4688
0.73291767,y,velocity,0,1,None,deepDomainComfuse,4688
0.7608916,x,velocity,0,1,None,domainAdversarial,4688
0.74949193,y,velocity,0,1,None,domainAdversarial,4688
0.64935625,x,velocity,1,2,None,Finetune,938
0.6513802,y,velocity,1,2,None,Finetune,938
0.67875636,x,velocity,1,2,None,MixCalibration,938
0.69067085,y,velocity,1,2,None,MixCalibration,938
0.6797012,x,velocity,1,2,None,deepDomainComfuse,938
0.6775821,y,velocity,1,2,None,deepDomainComfuse,938
0.70721626,x,velocity,1,2,None,domainAdversarial,938
0.7291286,y,velocity,1,2,None,domainAdversarial,938
0.7228675,x,velocity,1,2,None,Finetune,1875
0.7328962,y,velocity,1,2,None,Finetune,1875
0.69718516,x,velocity,1,2,None,MixCalibration,1875
0.7056422,y,velocity,1,2,None,MixCalibration,1875
0.73132205,x,velocity,1,2,None,deepDomainComfuse,1875
0.7405747,y,velocity,1,2,None,deepDomainComfuse,1875
0.7187439,x,velocity,1,2,None,domainAdversarial,1875
0.6893327,y,velocity,1,2,None,domainAdversarial,1875
0.7198098,x,velocity,1,2,None,Finetune,2813
0.71928155,y,velocity,1,2,None,Finetune,2813
0.715289,x,velocity,1,2,None,MixCalibration,2813
0.7444174,y,velocity,1,2,None,MixCalibration,2813
0.7362112,x,velocity,1,2,None,deepDomainComfuse,2813
0.749074,y,velocity,1,2,None,deepDomainComfuse,2813
0.7403215,x,velocity,1,2,None,domainAdversarial,2813
0.7641898,y,velocity,1,2,None,domainAdversarial,2813
0.7356076,x,velocity,1,2,None,Finetune,3750
0.74911034,y,velocity,1,2,None,Finetune,3750
0.73932207,x,velocity,1,2,None,MixCalibration,3750
0.7790748,y,velocity,1,2,None,MixCalibration,3750
0.75084245,x,velocity,1,2,None,deepDomainComfuse,3750
0.78139997,y,velocity,1,2,None,deepDomainComfuse,3750
0.7505137,x,velocity,1,2,None,domainAdversarial,3750
0.7519343,y,velocity,1,2,None,domainAdversarial,3750
0.74558425,x,velocity,1,2,None,Finetune,4688
0.7772736,y,velocity,1,2,None,Finetune,4688
0.7639679,x,velocity,1,2,None,MixCalibration,4688
0.77457625,y,velocity,1,2,None,MixCalibration,4688
0.7597577,x,velocity,1,2,None,deepDomainComfuse,4688
0.7702983,y,velocity,1,2,None,deepDomainComfuse,4688
0.7656727,x,velocity,1,2,None,domainAdversarial,4688
0.772679,y,velocity,1,2,None,domainAdversarial,4688
0.5782876,x,velocity,2,3,None,Finetune,938
0.6164404,y,velocity,2,3,None,Finetune,938
0.5898411,x,velocity,2,3,None,MixCalibration,938
0.6211807,y,velocity,2,3,None,MixCalibration,938
0.5576309,x,velocity,2,3,None,deepDomainComfuse,938
0.59977734,y,velocity,2,3,None,deepDomainComfuse,938
0.6346111,x,velocity,2,3,None,domainAdversarial,938
0.6587128,y,velocity,2,3,None,domainAdversarial,938
0.6376982,x,velocity,2,3,None,Finetune,1875
0.71419126,y,velocity,2,3,None,Finetune,1875
0.62878764,x,velocity,2,3,None,MixCalibration,1875
0.7125391,y,velocity,2,3,None,MixCalibration,1875
0.6088686,x,velocity,2,3,None,deepDomainComfuse,1875
0.71398294,y,velocity,2,3,None,deepDomainComfuse,1875
0.6938822,x,velocity,2,3,None,domainAdversarial,1875
0.68107855,y,velocity,2,3,None,domainAdversarial,1875
0.6394917,x,velocity,2,3,None,Finetune,2813
0.7157165,y,velocity,2,3,None,Finetune,2813
0.6712198,x,velocity,2,3,None,MixCalibration,2813
0.74117947,y,velocity,2,3,None,MixCalibration,2813
0.66347444,x,velocity,2,3,None,deepDomainComfuse,2813
0.74503744,y,velocity,2,3,None,deepDomainComfuse,2813
0.7262465,x,velocity,2,3,None,domainAdversarial,2813
0.6978055,y,velocity,2,3,None,domainAdversarial,2813
0.67963195,x,velocity,2,3,None,Finetune,3750
