sessionIndex,sessionName,trainTime,axis,r_square
1,indy_20160407_02_64ms,1,x,0.4685586
1,indy_20160407_02_64ms,1,y,0.5606797
1,indy_20160407_02_64ms,2,x,0.5446551
1,indy_20160407_02_64ms,2,y,0.6159203
1,indy_20160407_02_64ms,3,x,0.6038996
1,indy_20160407_02_64ms,3,y,0.6590451
1,indy_20160407_02_64ms,4,x,0.63045794
1,indy_20160407_02_64ms,4,y,0.68510556
1,indy_20160407_02_64ms,5,x,0.6583393
1,indy_20160407_02_64ms,5,y,0.70425415
2,indy_20160411_01_64ms,1,x,0.608063
2,indy_20160411_01_64ms,1,y,0.5998776
2,indy_20160411_01_64ms,2,x,0.59604967
2,indy_20160411_01_64ms,2,y,0.67958736
2,indy_20160411_01_64ms,3,x,0.66307545
2,indy_20160411_01_64ms,3,y,0.71539927
2,indy_20160411_01_64ms,4,x,0.68925
2,indy_20160411_01_64ms,4,y,0.7092346
2,indy_20160411_01_64ms,5,x,0.7175083
2,indy_20160411_01_64ms,5,y,0.7397723
3,indy_20160411_02_64ms,1,x,0.6364361
3,indy_20160411_02_64ms,1,y,0.55160624
3,indy_20160411_02_64ms,2,x,0.67364585
3,indy_20160411_02_64ms,2,y,0.66130626
3,indy_20160411_02_64ms,3,x,0.6968353
3,indy_20160411_02_64ms,3,y,0.7043519
3,indy_20160411_02_64ms,4,x,0.7220169
3,indy_20160411_02_64ms,4,y,0.74337536
3,indy_20160411_02_64ms,5,x,0.7624429
3,indy_20160411_02_64ms,5,y,0.7621147
4,indy_20160418_01_64ms,1,x,0.47501838
4,indy_20160418_01_64ms,1,y,0.48535258
4,indy_20160418_01_64ms,2,x,0.5722072
4,indy_20160418_01_64ms,2,y,0.6356717
4,indy_20160418_01_64ms,3,x,0.59959745
4,indy_20160418_01_64ms,3,y,0.67152536
4,indy_20160418_01_64ms,4,x,0.6754658
4,indy_20160418_01_64ms,4,y,0.7306938
4,indy_20160418_01_64ms,5,x,0.6892265
4,indy_20160418_01_64ms,5,y,0.7498241
5,indy_20160419_01_64ms,1,x,0.58935547
5,indy_20160419_01_64ms,1,y,0.47933662
5,indy_20160419_01_64ms,2,x,0.69242144
5,indy_20160419_01_64ms,2,y,0.52334464
5,indy_20160419_01_64ms,3,x,0.69815207
5,indy_20160419_01_64ms,3,y,0.5562018
5,indy_20160419_01_64ms,4,x,0.7084392
5,indy_20160419_01_64ms,4,y,0.6271378
5,indy_20160419_01_64ms,5,x,0.74208325
5,indy_20160419_01_64ms,5,y,0.6698525
6,indy_20160420_01_64ms,1,x,0.5691104
6,indy_20160420_01_64ms,1,y,0.5486831
6,indy_20160420_01_64ms,2,x,0.65325904
6,indy_20160420_01_64ms,2,y,0.6404293
6,indy_20160420_01_64ms,3,x,0.67700624
6,indy_20160420_01_64ms,3,y,0.7139378
6,indy_20160420_01_64ms,4,x,0.7172534
6,indy_20160420_01_64ms,4,y,0.72774625
6,indy_20160420_01_64ms,5,x,0.73039967
6,indy_20160420_01_64ms,5,y,0.74705493
7,indy_20160426_01_64ms,1,x,0.6185324
7,indy_20160426_01_64ms,1,y,0.4957512
7,indy_20160426_01_64ms,2,x,0.68029666
7,indy_20160426_01_64ms,2,y,0.63115275
7,indy_20160426_01_64ms,3,x,0.67084914
7,indy_20160426_01_64ms,3,y,0.6223244
7,indy_20160426_01_64ms,4,x,0.7399446
7,indy_20160426_01_64ms,4,y,0.69662964
7,indy_20160426_01_64ms,5,x,0.7294813
7,indy_20160426_01_64ms,5,y,0.70310783
8,indy_20160622_01_64ms,1,x,2.4974346e-05
8,indy_20160622_01_64ms,1,y,-1.3947487e-05
8,indy_20160622_01_64ms,2,x,0.086288214
8,indy_20160622_01_64ms,2,y,0.20500225
8,indy_20160622_01_64ms,3,x,0.27551407
8,indy_20160622_01_64ms,3,y,0.38468057
8,indy_20160622_01_64ms,4,x,0.4601115
8,indy_20160622_01_64ms,4,y,0.4915288
8,indy_20160622_01_64ms,5,x,0.5742763
8,indy_20160622_01_64ms,5,y,0.51534915
9,indy_20160624_03_64ms,1,x,0.36511517
9,indy_20160624_03_64ms,1,y,0.58845806
9,indy_20160624_03_64ms,2,x,0.5610915
9,indy_20160624_03_64ms,2,y,0.7114729
9,indy_20160624_03_64ms,3,x,0.5883484
9,indy_20160624_03_64ms,3,y,0.7164377
9,indy_20160624_03_64ms,4,x,0.57007015
9,indy_20160624_03_64ms,4,y,0.7042108
9,indy_20160624_03_64ms,5,x,0.61271
9,indy_20160624_03_64ms,5,y,0.75161433
10,indy_20160627_01_64ms,1,x,0.42839104
10,indy_20160627_01_64ms,1,y,0.67237246
10,indy_20160627_01_64ms,2,x,0.43465257
10,indy_20160627_01_64ms,2,y,0.66674197
10,indy_20160627_01_64ms,3,x,0.55571526
10,indy_20160627_01_64ms,3,y,0.7468476
10,indy_20160627_01_64ms,4,x,0.59025764
10,indy_20160627_01_64ms,4,y,0.75886667
10,indy_20160627_01_64ms,5,x,0.6380938
10,indy_20160627_01_64ms,5,y,0.7954711
11,indy_20160630_01_64ms,1,x,0.27304626
11,indy_20160630_01_64ms,1,y,0.4812389
11,indy_20160630_01_64ms,2,x,0.39028233
11,indy_20160630_01_64ms,2,y,0.5751022
11,indy_20160630_01_64ms,3,x,0.42778522
11,indy_20160630_01_64ms,3,y,0.6519666
11,indy_20160630_01_64ms,4,x,0.46305954
11,indy_20160630_01_64ms,4,y,0.6861813
11,indy_20160630_01_64ms,5,x,0.47571427
11,indy_20160630_01_64ms,5,y,0.7178259
12,indy_20160915_01_64ms,1,x,0.40736812
12,indy_20160915_01_64ms,1,y,0.5246022
12,indy_20160915_01_64ms,2,x,0.603952
12,indy_20160915_01_64ms,2,y,0.6370289
12,indy_20160915_01_64ms,3,x,0.66224426
12,indy_20160915_01_64ms,3,y,0.71825725
12,indy_20160915_01_64ms,4,x,0.7280494
12,indy_20160915_01_64ms,4,y,0.7752625
12,indy_20160915_01_64ms,5,x,0.6662667
12,indy_20160915_01_64ms,5,y,0.7760726
13,indy_20160916_01_64ms,1,x,0.5466584
13,indy_20160916_01_64ms,1,y,0.5987934
13,indy_20160916_01_64ms,2,x,0.61844707
13,indy_20160916_01_64ms,2,y,0.70867395
13,indy_20160916_01_64ms,3,x,0.6620245
13,indy_20160916_01_64ms,3,y,0.7567266
13,indy_20160916_01_64ms,4,x,0.69795454
13,indy_20160916_01_64ms,4,y,0.7788079
13,indy_20160916_01_64ms,5,x,0.7290602
13,indy_20160916_01_64ms,5,y,0.8149597
14,indy_20160921_01_64ms,1,x,0.47187334
14,indy_20160921_01_64ms,1,y,0.50983566
14,indy_20160921_01_64ms,2,x,0.48739636
14,indy_20160921_01_64ms,2,y,0.7094338
14,indy_20160921_01_64ms,3,x,0.57136774
14,indy_20160921_01_64ms,3,y,0.7821386
14,indy_20160921_01_64ms,4,x,0.643986
14,indy_20160921_01_64ms,4,y,0.83225894
14,indy_20160921_01_64ms,5,x,0.6971966
14,indy_20160921_01_64ms,5,y,0.8478438
15,indy_20160927_04_64ms,1,x,0.57577896
15,indy_20160927_04_64ms,1,y,0.66971457
15,indy_20160927_04_64ms,2,x,0.7199334
15,indy_20160927_04_64ms,2,y,0.7992679
15,indy_20160927_04_64ms,3,x,0.7248837
15,indy_20160927_04_64ms,3,y,0.81199944
15,indy_20160927_04_64ms,4,x,0.7744308
15,indy_20160927_04_64ms,4,y,0.8194855
15,indy_20160927_04_64ms,5,x,0.78257155
15,indy_20160927_04_64ms,5,y,0.8522975
16,indy_20160927_06_64ms,1,x,0.20801467
16,indy_20160927_06_64ms,1,y,0.5750193
16,indy_20160927_06_64ms,2,x,0.53292876
16,indy_20160927_06_64ms,2,y,0.6940442
16,indy_20160927_06_64ms,3,x,0.616042
16,indy_20160927_06_64ms,3,y,0.66008323
16,indy_20160927_06_64ms,4,x,0.6507331
16,indy_20160927_06_64ms,4,y,0.71335375
16,indy_20160927_06_64ms,5,x,0.7057038
16,indy_20160927_06_64ms,5,y,0.7728287
17,indy_20160930_02_64ms,1,x,0.43549287
17,indy_20160930_02_64ms,1,y,0.61738646
17,indy_20160930_02_64ms,2,x,0.6478877
17,indy_20160930_02_64ms,2,y,0.722175
17,indy_20160930_02_64ms,3,x,0.6644365
17,indy_20160930_02_64ms,3,y,0.72558665
17,indy_20160930_02_64ms,4,x,0.70152
17,indy_20160930_02_64ms,4,y,0.73901236
17,indy_20160930_02_64ms,5,x,0.7250974
17,indy_20160930_02_64ms,5,y,0.7623331
18,indy_20160930_05_64ms,1,x,0.5063076
18,indy_20160930_05_64ms,1,y,0.638452
18,indy_20160930_05_64ms,2,x,0.5400888
18,indy_20160930_05_64ms,2,y,0.74521667
18,indy_20160930_05_64ms,3,x,0.6463547
18,indy_20160930_05_64ms,3,y,0.82048583
18,indy_20160930_05_64ms,4,x,0.63795865
18,indy_20160930_05_64ms,4,y,0.80022234
18,indy_20160930_05_64ms,5,x,0.6794021
18,indy_20160930_05_64ms,5,y,0.8103431
19,indy_20161005_06_64ms,1,x,0.434577
19,indy_20161005_06_64ms,1,y,0.48643982
19,indy_20161005_06_64ms,2,x,0.5172471
19,indy_20161005_06_64ms,2,y,0.6999483
19,indy_20161005_06_64ms,3,x,0.56871414
19,indy_20161005_06_64ms,3,y,0.74981827
19,indy_20161005_06_64ms,4,x,0.5833339
19,indy_20161005_06_64ms,4,y,0.74017453
19,indy_20161005_06_64ms,5,x,0.5986129
19,indy_20161005_06_64ms,5,y,0.77862334
20,indy_20161006_02_64ms,1,x,0.38024175
20,indy_20161006_02_64ms,1,y,0.6196842
20,indy_20161006_02_64ms,2,x,0.5352354
20,indy_20161006_02_64ms,2,y,0.6833036
20,indy_20161006_02_64ms,3,x,0.6020697
20,indy_20161006_02_64ms,3,y,0.7430874
20,indy_20161006_02_64ms,4,x,0.6420758
20,indy_20161006_02_64ms,4,y,0.787419
20,indy_20161006_02_64ms,5,x,0.6647947
20,indy_20161006_02_64ms,5,y,0.793252
21,indy_20161007_02_64ms,1,x,0.45858932
21,indy_20161007_02_64ms,1,y,0.56358814
21,indy_20161007_02_64ms,2,x,0.58844715
21,indy_20161007_02_64ms,2,y,0.64556617
21,indy_20161007_02_64ms,3,x,0.67257196
21,indy_20161007_02_64ms,3,y,0.7552476
21,indy_20161007_02_64ms,4,x,0.6852521
21,indy_20161007_02_64ms,4,y,0.7785904
21,indy_20161007_02_64ms,5,x,0.7122587
21,indy_20161007_02_64ms,5,y,0.7599209
22,indy_20161011_03_64ms,1,x,0.05649191
22,indy_20161011_03_64ms,1,y,0.47417378
22,indy_20161011_03_64ms,2,x,0.48495793
22,indy_20161011_03_64ms,2,y,0.71567845
22,indy_20161011_03_64ms,3,x,0.5914476
22,indy_20161011_03_64ms,3,y,0.7529965
22,indy_20161011_03_64ms,4,x,0.67099255
22,indy_20161011_03_64ms,4,y,0.7181797
22,indy_20161011_03_64ms,5,x,0.6859784
22,indy_20161011_03_64ms,5,y,0.7463022
23,indy_20161013_03_64ms,1,x,0.6219571
23,indy_20161013_03_64ms,1,y,0.71950316
23,indy_20161013_03_64ms,2,x,0.63170767
23,indy_20161013_03_64ms,2,y,0.75547856
23,indy_20161013_03_64ms,3,x,0.66316223
23,indy_20161013_03_64ms,3,y,0.7761263
23,indy_20161013_03_64ms,4,x,0.6953659
23,indy_20161013_03_64ms,4,y,0.7916906
23,indy_20161013_03_64ms,5,x,0.7102355
23,indy_20161013_03_64ms,5,y,0.7927208
24,indy_20161014_04_64ms,1,x,0.44005287
24,indy_20161014_04_64ms,1,y,0.66089714
24,indy_20161014_04_64ms,2,x,0.5831106
24,indy_20161014_04_64ms,2,y,0.7248087
24,indy_20161014_04_64ms,3,x,0.595639
24,indy_20161014_04_64ms,3,y,0.73308825
24,indy_20161014_04_64ms,4,x,0.6725242
24,indy_20161014_04_64ms,4,y,0.77252823
24,indy_20161014_04_64ms,5,x,0.67955935
24,indy_20161014_04_64ms,5,y,0.789702
25,indy_20161017_02_64ms,1,x,0.5213693
25,indy_20161017_02_64ms,1,y,0.60129344
25,indy_20161017_02_64ms,2,x,0.661823
25,indy_20161017_02_64ms,2,y,0.71636075
25,indy_20161017_02_64ms,3,x,0.6866554
25,indy_20161017_02_64ms,3,y,0.7759811
25,indy_20161017_02_64ms,4,x,0.6933587
25,indy_20161017_02_64ms,4,y,0.8041874
25,indy_20161017_02_64ms,5,x,0.73383117
25,indy_20161017_02_64ms,5,y,0.83033663
26,indy_20161024_03_64ms,1,x,0.5306858
26,indy_20161024_03_64ms,1,y,0.6745714
26,indy_20161024_03_64ms,2,x,0.5774733
26,indy_20161024_03_64ms,2,y,0.7421999
26,indy_20161024_03_64ms,3,x,0.6317328
26,indy_20161024_03_64ms,3,y,0.764133
26,indy_20161024_03_64ms,4,x,0.63510394
26,indy_20161024_03_64ms,4,y,0.76473564
26,indy_20161024_03_64ms,5,x,0.6832494
26,indy_20161024_03_64ms,5,y,0.8120742
27,indy_20161025_04_64ms,1,x,0.53589535
27,indy_20161025_04_64ms,1,y,0.62845474
27,indy_20161025_04_64ms,2,x,0.65126944
27,indy_20161025_04_64ms,2,y,0.7526288
27,indy_20161025_04_64ms,3,x,0.72350675
27,indy_20161025_04_64ms,3,y,0.797385
27,indy_20161025_04_64ms,4,x,0.71144325
27,indy_20161025_04_64ms,4,y,0.8097681
27,indy_20161025_04_64ms,5,x,0.7560092
27,indy_20161025_04_64ms,5,y,0.82566494
28,indy_20161026_03_64ms,1,x,0.43940198
28,indy_20161026_03_64ms,1,y,0.57071775
28,indy_20161026_03_64ms,2,x,0.67717576
28,indy_20161026_03_64ms,2,y,0.73013324
28,indy_20161026_03_64ms,3,x,0.72375375
28,indy_20161026_03_64ms,3,y,0.7883228
28,indy_20161026_03_64ms,4,x,0.7375666
28,indy_20161026_03_64ms,4,y,0.81815
28,indy_20161026_03_64ms,5,x,0.7508145
28,indy_20161026_03_64ms,5,y,0.82747805
29,indy_20161027_03_64ms,1,x,0.28893137
29,indy_20161027_03_64ms,1,y,0.35655892
29,indy_20161027_03_64ms,2,x,0.57570946
29,indy_20161027_03_64ms,2,y,0.652216
29,indy_20161027_03_64ms,3,x,0.6472777
29,indy_20161027_03_64ms,3,y,0.71697634
29,indy_20161027_03_64ms,4,x,0.7146732
29,indy_20161027_03_64ms,4,y,0.7678072
29,indy_20161027_03_64ms,5,x,0.713891
29,indy_20161027_03_64ms,5,y,0.77487934
30,indy_20161206_02_64ms,1,x,0.08259839
30,indy_20161206_02_64ms,1,y,0.22666466
30,indy_20161206_02_64ms,2,x,0.102581084
30,indy_20161206_02_64ms,2,y,0.27417105
30,indy_20161206_02_64ms,3,x,0.20919013
30,indy_20161206_02_64ms,3,y,0.47390777
30,indy_20161206_02_64ms,4,x,0.371893
30,indy_20161206_02_64ms,4,y,0.5881395
30,indy_20161206_02_64ms,5,x,0.4827106
30,indy_20161206_02_64ms,5,y,0.6340158
31,indy_20161207_02_64ms,1,x,0.44887584
31,indy_20161207_02_64ms,1,y,0.5343113
31,indy_20161207_02_64ms,2,x,0.5596524
31,indy_20161207_02_64ms,2,y,0.67597747
31,indy_20161207_02_64ms,3,x,0.65217924
31,indy_20161207_02_64ms,3,y,0.7727119
31,indy_20161207_02_64ms,4,x,0.67308176
31,indy_20161207_02_64ms,4,y,0.8130185
31,indy_20161207_02_64ms,5,x,0.7258996
31,indy_20161207_02_64ms,5,y,0.8317937
32,indy_20161212_02_64ms,1,x,0.50754875
32,indy_20161212_02_64ms,1,y,0.698582
32,indy_20161212_02_64ms,2,x,0.6191217
32,indy_20161212_02_64ms,2,y,0.71929413
32,indy_20161212_02_64ms,3,x,0.66204226
32,indy_20161212_02_64ms,3,y,0.76168525
32,indy_20161212_02_64ms,4,x,0.64070034
32,indy_20161212_02_64ms,4,y,0.7951944
32,indy_20161212_02_64ms,5,x,0.64359254
32,indy_20161212_02_64ms,5,y,0.7918699
33,indy_20161220_02_64ms,1,x,0.45133227
33,indy_20161220_02_64ms,1,y,0.45005083
33,indy_20161220_02_64ms,2,x,0.56697834
33,indy_20161220_02_64ms,2,y,0.63871306
33,indy_20161220_02_64ms,3,x,0.56524533
33,indy_20161220_02_64ms,3,y,0.6551237
33,indy_20161220_02_64ms,4,x,0.4978549
33,indy_20161220_02_64ms,4,y,0.6972594
33,indy_20161220_02_64ms,5,x,0.60540825
33,indy_20161220_02_64ms,5,y,0.7377066
34,indy_20170123_02_64ms,1,x,0.55326116
34,indy_20170123_02_64ms,1,y,0.57277256
34,indy_20170123_02_64ms,2,x,0.645805
34,indy_20170123_02_64ms,2,y,0.6721977
34,indy_20170123_02_64ms,3,x,0.6565248
34,indy_20170123_02_64ms,3,y,0.73200786
34,indy_20170123_02_64ms,4,x,0.7119628
34,indy_20170123_02_64ms,4,y,0.7802299
34,indy_20170123_02_64ms,5,x,0.7163051
34,indy_20170123_02_64ms,5,y,0.7837695
35,indy_20170124_01_64ms,1,x,0.6026834
35,indy_20170124_01_64ms,1,y,0.66879743
35,indy_20170124_01_64ms,2,x,0.7135214
35,indy_20170124_01_64ms,2,y,0.77307636
35,indy_20170124_01_64ms,3,x,0.7432879
35,indy_20170124_01_64ms,3,y,0.81582224
35,indy_20170124_01_64ms,4,x,0.7475189
35,indy_20170124_01_64ms,4,y,0.8090429
35,indy_20170124_01_64ms,5,x,0.7711495
35,indy_20170124_01_64ms,5,y,0.84279245
36,indy_20170127_03_64ms,1,x,0.52898014
36,indy_20170127_03_64ms,1,y,0.631814
36,indy_20170127_03_64ms,2,x,0.647187
36,indy_20170127_03_64ms,2,y,0.7037624
36,indy_20170127_03_64ms,3,x,0.6926105
36,indy_20170127_03_64ms,3,y,0.7506922
36,indy_20170127_03_64ms,4,x,0.69234
36,indy_20170127_03_64ms,4,y,0.75150394
36,indy_20170127_03_64ms,5,x,0.7119162
36,indy_20170127_03_64ms,5,y,0.76813924
37,indy_20170131_02_64ms,1,x,0.56269085
37,indy_20170131_02_64ms,1,y,0.5757389
37,indy_20170131_02_64ms,2,x,0.6746012
37,indy_20170131_02_64ms,2,y,0.6716673
37,indy_20170131_02_64ms,3,x,0.6644435
37,indy_20170131_02_64ms,3,y,0.68842244
37,indy_20170131_02_64ms,4,x,0.69012046
37,indy_20170131_02_64ms,4,y,0.7402888
37,indy_20170131_02_64ms,5,x,0.7124423
37,indy_20170131_02_64ms,5,y,0.7313794
