trainSession,testSession,axis,r_square
[4],4,x,0.7511539
[4],4,y,0.65068185
"[4, 3]",4,x,0.7703294
"[4, 3]",4,y,0.6939664
"[4, 3, 2]",4,x,0.77086014
"[4, 3, 2]",4,y,0.6959109
"[4, 3, 2, 1]",4,x,0.7619473
"[4, 3, 2, 1]",4,y,0.7218399
"[4, 3, 2, 1, 0]",4,x,0.77660173
"[4, 3, 2, 1, 0]",4,y,0.681051
[4],4,x,0.7594598
[4],4,y,0.66709316
"[4, 3]",4,x,0.73401606
"[4, 3]",4,y,0.69731915
"[4, 3, 2]",4,x,0.7822838
"[4, 3, 2]",4,y,0.7031288
"[4, 3, 2, 1]",4,x,0.75131834
"[4, 3, 2, 1]",4,y,0.7171638
"[4, 3, 2, 1, 0]",4,x,0.77418303
"[4, 3, 2, 1, 0]",4,y,0.7146981
[4],4,x,0.7508441
[4],4,y,0.6766615
"[4, 3]",4,x,0.7568604
"[4, 3]",4,y,0.7021128
"[4, 3, 2]",4,x,0.76566803
"[4, 3, 2]",4,y,0.6769885
"[4, 3, 2, 1]",4,x,0.74686897
"[4, 3, 2, 1]",4,y,0.669068
"[4, 3, 2, 1, 0]",4,x,0.76098967
"[4, 3, 2, 1, 0]",4,y,0.6848913
[4],4,x,0.7396997
[4],4,y,0.6900165
"[4, 3]",4,x,0.7606247
"[4, 3]",4,y,0.70516145
"[4, 3, 2]",4,x,0.7725549
"[4, 3, 2]",4,y,0.70495594
"[4, 3, 2, 1]",4,x,0.7542455
"[4, 3, 2, 1]",4,y,0.7153584
"[4, 3, 2, 1, 0]",4,x,0.7728193
"[4, 3, 2, 1, 0]",4,y,0.7152082
[4],4,x,0.74349463
[4],4,y,0.67036986
"[4, 3]",4,x,0.75763637
"[4, 3]",4,y,0.7087916
"[4, 3, 2]",4,x,0.76032007
"[4, 3, 2]",4,y,0.6940913
"[4, 3, 2, 1]",4,x,0.7700514
"[4, 3, 2, 1]",4,y,0.70546114
"[4, 3, 2, 1, 0]",4,x,0.7558457
"[4, 3, 2, 1, 0]",4,y,0.7156816
